Place,Player,Time (seconds),Date Submitted
1,yujene,5889.004,2025-03-13T03:49:07Z
2,LuCaViCnE,5922.919,2024-04-27T11:59:35Z
3,Goombs,5975.857,2023-12-07T12:13:49Z
4,koralreef,6119.864,2021-08-20T11:14:53Z
5,Chaikitty,6176.78,2020-08-08T07:55:20Z
6,profnyan,6210.151,2023-12-02T21:55:38Z
7,kwan2020,6227.355,2024-04-03T17:52:32Z
8,Comet625,6279.052,2023-06-20T04:21:15Z
9,Mikshul,6312.236,2025-03-14T09:21:21Z
10,Vapo,6337.141,2024-06-19T21:00:05Z
11,hunyjoa,6386.934,2022-08-21T02:38:04Z
12,max2842,6472.206,2025-10-05T16:47:26Z
13,Msushi,6491.195,2020-03-20T22:32:03Z
14,OddBod,6494.17,2020-03-15T20:11:52Z
15,Lmjacks,6541.94,2025-02-16T04:16:55Z
16,tokikumo,6578.779,2024-03-07T00:09:35Z
17,tempfelix,6634.743,2025-03-04T17:15:12Z
18,TGH,6660.481,2019-12-18T19:07:25Z
19,jimmyclyde,6882.943,2023-07-19T07:18:57Z
20,Tiyo,6910.789,2022-11-06T12:26:10Z
21,GrosHiken,6927.551,2020-05-31T12:32:26Z
22,Isaactayy,6936.561,2025-01-20T19:11:29Z
23,Seraphira,6953.255,2025-03-30T00:02:19Z
24,B3traya1_,6974.131,2025-02-19T07:03:48Z
25,AgedWater,7008.454,2023-07-15T08:37:44Z
26,Cricter,7038.272,2020-09-17T18:41:13Z
27,death_unites_us,7098.809,2025-02-06T18:06:04Z
28,maridon,7119.566,2023-04-09T16:17:55Z
29,retrisma_crab,7199.534,2022-08-21T23:48:57Z
30,carrarium,7269.795,2022-02-21T07:09:53Z
31,Sevadra,7359.589,2023-07-16T20:24:43Z
32,Windrunner315,7368.412,2025-03-14T20:44:13Z
33,abbysky,7437.823,2021-11-02T16:47:33Z
34,Rubiks37,7446.34,2025-10-28T15:13:16Z
35,CactusSB,7528.025,2025-02-16T22:21:17Z
36,Nose_celeb,7533.975,2020-11-13T17:05:47Z
37,Boss219,7567.72,2021-12-05T22:38:01Z
38,rhelmot,7574.588,2023-07-15T14:02:35Z
39,pisgood,7630.739,2022-09-10T05:45:36Z
40,DuncDuncRevolution,7873.992,2021-06-28T07:02:53Z
41,Flamehaze,7976.791,2023-06-30T01:05:42Z
42,maivee,8070.172,2021-03-01T04:05:11Z
43,willow0510,8166.137,2021-11-25T12:42:08Z
44,truegen,8177.952,2020-04-15T18:57:16Z
45,AnsoWizard,8299.519,2025-02-10T05:39:38Z
46,skun,8321.959,2021-03-18T01:47:04Z
47,OCookie,8337.548,2024-10-08T21:55:31Z
48,Squeal,8505.899,2023-07-06T06:54:22Z
49,Origamikid,8576.959,2020-07-12T00:32:43Z
50,chasebeleren,8608.46,2020-09-28T23:59:48Z
51,cordovia,8681.883,2020-07-20T15:12:22Z
52,avylazyboy,8764.605,2020-04-14T04:57:08Z
53,Xenoras,8776.59,2020-07-14T22:42:29Z
54,Harixsia,8797.466,2020-07-22T20:56:12Z
55,cirion02,8810.59,2024-10-15T22:20:18Z
56,Perodi,8852.393,2020-02-17T20:33:55Z
57,Jumpyluff,8896.763,2019-09-24T10:25:29Z
