Place,Player,Time (seconds),Date Submitted
1,ebre,1914.166,2025-03-05T19:00:50Z
2,yujene,1940.499,2024-10-26T23:58:59Z
3,koralreef,1947.877,2022-06-17T22:37:35Z
4,pensive_cola,1979.633,2021-12-20T06:49:13Z
5,maxmarshmallows,1998.571,2021-12-19T20:04:15Z
6,kwan2020,2002.192,2025-06-27T09:45:45Z
7,B3traya1_,2012.256,2025-03-14T22:02:14Z
8,Vapo,2018.376,2024-10-20T21:57:47Z
9,thom148,2024.53,2024-07-23T17:57:50Z
10,TGH,2026.638,2019-07-15T13:59:48Z
11,rosemarrryy,2039.524,2024-05-17T09:34:16Z
12,Msushi,2074.459,2019-06-21T15:53:58Z
13,OddBod,2081.021,2019-07-13T09:16:45Z
14,cordovia,2118.591,2021-02-21T14:01:23Z
15,Cricter,2135.812,2020-09-08T17:55:51Z
16,Marlin,2146.488,2019-06-20T20:59:56Z
17,skun,2190.569,2021-03-28T09:22:31Z
18,Windrunner315,2275.841,2023-01-31T16:14:06Z
19,willow0510,2281.196,2022-01-13T16:25:14Z
20,Sevadra,2294.881,2023-11-26T06:43:43Z
21,Nose_celeb,2301.069,2021-03-13T01:48:37Z
22,BreadUwU,2302.939,2023-10-07T14:31:35Z
23,Mallix,2326.79,2019-05-31T23:19:53Z
24,Kriog16,2366.893,2020-02-23T12:51:22Z
25,death_unites_us,2371.67,2020-09-26T18:27:20Z
26,BirdSalad,2376.09,2023-03-28T21:06:26Z
27,M4T_,2391.118,2021-07-24T23:08:15Z
28,DillaGames,2391.186,2021-08-11T23:41:35Z
29,MooseSR,2410.804,2018-08-09T14:09:18Z
30,turtles10000000,2430.524,2024-07-02T14:10:14Z
31,maridon,2520.267,2022-02-09T01:21:00Z
32,OCookie,2534.071,2024-10-06T16:40:00Z
33,problemstrol,2544.458,2018-04-29T19:09:08Z
34,LaMorra,2572.984,2021-07-04T10:53:45Z
35,ezli,2581.79,2023-12-03T21:35:53Z
36,Jumpydash,2587.315,2025-09-08T19:54:46Z
37,KingJO444,2589.525,2020-03-08T04:20:07Z
38,orbittwz,2630.869,2020-04-14T19:13:10Z
39,Benteezy,2648.549,2018-03-19T07:44:09Z
40,aokitw513,2657.848,2025-06-15T15:35:07Z
41,Kesto,2687.683,2024-08-07T01:49:21Z
42,Yuki_Layla,2689.162,2020-04-12T14:59:52Z
43,MRTrombocit,2716.617,2019-04-08T07:56:47Z
44,Doolos,2718.963,2023-04-12T03:32:39Z
45,squang8,2775.743,2021-11-07T07:18:07Z
46,2deoxyribose,2777.052,2023-01-10T01:12:25Z
47,kerzenkaktus,2850.084,2022-11-26T15:22:23Z
48,Retroflex,2856.323,2022-01-22T12:46:47Z
49,UTSC,2892.159,2021-09-02T10:21:34Z
50,zaphie_sr,2916.35,2022-02-07T23:10:12Z
51,corkr900,2921.739,2022-12-21T05:46:30Z
52,tavitu27,2949.041,2022-10-21T05:28:45Z
53,CactusCPLTB,2977.346,2025-08-18T21:06:37Z
54,hdtheo,3035.401,2025-10-15T21:21:49Z
55,Mathi5000,3047.624,2021-12-05T17:14:44Z
56,yp,3072.682,2018-02-20T00:53:02Z
57,oxfordbags,3103.35,2019-07-25T12:12:54Z
58,AnInternetTroll,3115.573,2019-06-26T14:02:00Z
59,RandomEevee,3144.133,2020-11-01T06:59:13Z
60,Spekio,3185.596,2018-02-19T01:02:44Z
61,Etinor,3202.239,2021-07-11T17:25:44Z
62,Benithl,3226.838,2018-03-27T02:59:27Z
63,Glackum,3305.582,2018-02-12T08:16:49Z
64,Roofon,3324.707,2018-05-06T21:23:23Z
65,kamil2050,3401.938,2023-01-20T16:53:00Z
66,UltPokenonFan,3445.305,2020-03-22T06:08:33Z
67,Eichi,3475.973,2018-02-07T12:40:59Z
68,Viki,3530.271,2021-02-02T09:25:18Z
69,pancakesandtea,3557.42,2022-09-30T00:51:01Z
70,hovs,3588.921,2022-06-25T14:41:04Z
71,ClayWeathers,3632.118,2021-05-21T13:49:17Z
72,heather,3685.277,2018-02-06T22:17:41Z
73,Shauny7188,3730.429,2018-03-28T15:56:19Z
74,mjs19999,3792.547,2020-07-26T09:26:15Z
75,wand77,3830.083,2019-09-15T19:04:11Z
76,Bubill,3903.948,2023-01-22T15:26:51Z
77,Zafi,3949.032,2021-05-18T18:26:22Z
78,NiGHTS108,3991.175,2020-10-10T23:07:35Z
79,Szechuan_Sasuke,4051.406,2020-08-12T09:16:37Z
80,Ben_eXceL,4261.458,2025-05-04T06:18:51Z
81,Shaddan,4520.13,2020-03-31T15:21:23Z
82,AxiomMir,4593.383,2019-10-15T02:13:10Z
83,Zeion97,5502.424,2018-05-01T08:15:38Z
84,littlebunny1234,5534.0,2018-02-05T21:39:43Z
85,3cbb,5687.333,2018-02-09T22:54:02Z
86,Levyorg,8086.339,2020-07-16T01:35:28Z
