Place,Player,Time (seconds),Date Submitted
1,secureaccount,1423.087,2025-09-22T23:25:40Z
2,preimi,1444.524,2022-08-17T18:00:35Z
3,profnyan,1481.142,2023-08-16T07:13:43Z
4,Tiyo,1494.657,2022-09-04T13:19:24Z
5,yujene,1525.325,2025-07-28T20:50:40Z
6,LuCaViCnE,1531.683,2023-11-30T23:42:32Z
7,abbysky,1538.126,2022-07-15T20:40:42Z
8,koralreef,1544.467,2021-07-27T03:27:16Z
9,Goombs,1546.439,2022-06-11T13:11:11Z
10,Lmjacks,1550.587,2025-10-02T02:50:17Z
11,Chaikitty,1567.995,2020-07-26T07:31:06Z
12,kwan2020,1580.048,2024-03-10T07:01:05Z
13,UnderTempo,1581.731,2022-11-27T06:09:30Z
14,0ta0ta,1602.471,2022-11-27T02:42:25Z
15,Vapo,1604.698,2024-04-07T14:35:23Z
16,TGH,1606.857,2019-07-15T14:33:25Z
17,OddBod,1606.908,2020-03-17T17:58:06Z
18,ebre,1609.696,2022-08-27T21:20:11Z
19,tokikumo,1671.865,2023-12-01T00:12:25Z
20,Thalant,1672.528,2022-04-23T15:33:04Z
21,MooseSR,1686.383,2020-02-27T14:32:40Z
22,Psyched,1693.727,2019-04-27T18:48:03Z
23,manbou_rubik,1696.957,2021-04-10T15:53:32Z
24,CactusSB,1710.268,2022-10-30T00:54:43Z
25,Mikshul,1730.345,2024-05-05T08:14:11Z
26,retrisma_crab,1741.327,2021-11-04T20:35:32Z
27,Sevadra,1759.857,2023-11-16T16:18:35Z
28,death_unites_us,1776.891,2020-06-09T02:11:17Z
29,B3traya1_,1777.724,2025-02-25T06:18:25Z
30,Sleepy__Dan__,1818.949,2021-12-15T03:04:29Z
31,M4T_,1923.057,2021-07-16T07:00:17Z
32,Nose_celeb,1928.055,2020-11-08T15:40:50Z
33,willow0510,1953.385,2022-01-17T21:33:22Z
34,Kriog16,2042.907,2022-03-26T17:37:42Z
35,puddingguri,2062.882,2021-02-15T10:27:19Z
36,Blueye,2078.692,2019-02-11T21:11:34Z
37,OCookie,2084.489,2024-10-06T17:24:49Z
38,Megdal02,2134.775,2023-12-24T23:38:59Z
39,PetresInc,2224.144,2020-02-28T06:03:56Z
40,Squeal,2248.862,2019-11-10T09:31:07Z
41,Benteezy,2282.386,2018-03-31T23:03:27Z
42,MaxSchnell43,2446.011,2020-06-14T05:36:22Z
43,corkr900,2599.538,2024-04-27T17:06:01Z
44,KingJO444,2725.78,2019-12-03T05:12:00Z
45,metagloria,2983.041,2020-02-21T04:22:29Z
47,Lepotatochip,3019.319,2021-02-09T22:16:22Z
48,zaphie_sr,3106.206,2023-12-26T12:36:14Z
49,IsaacDr3w,3320.899,2022-02-27T15:24:45Z
50,Shauny7188,3365.286,2018-07-24T17:56:50Z
51,VampireStrike,3385.686,2020-08-21T14:04:26Z
52,ImKnownAsG,3530.798,2019-01-29T13:43:20Z
53,Springer03,3786.818,2018-08-27T12:19:55Z
54,Liat,4082.159,2020-11-17T07:02:57Z
55,BahaRuinsEverything,4379.659,2021-04-15T11:32:06Z
56,zaj_mahal,4794.289,2025-08-08T07:30:21Z
57,Roofon,4918.474,2018-07-08T05:33:57Z
58,LarryTheSlime,5449.18,2023-08-30T18:30:00Z
59,Tjark,6657.2,2022-08-08T01:52:53Z
60,Kkove,6719.08,2019-02-10T21:50:01Z
61,PeekingBoo,6818.496,2021-03-21T05:12:44Z
62,Zeion97,10860.535,2018-05-01T00:27:52Z
