Place,Player,Time (seconds),Date Submitted
1,kokkoro,255.612,2025-10-02T03:15:01Z
2,Zkad,256.955,2023-06-02T03:52:54Z
3,secureaccount,266.764,2025-09-16T06:27:46Z
4,Tiyo,268.889,2025-09-16T13:28:09Z
5,Spirialis,269.501,2020-08-17T05:02:55Z
6,Jackthewack,273.53,2025-08-22T00:19:30Z
7,preimi,273.751,2021-09-24T12:36:01Z
8,LuCaViCnE,277.015,2023-11-24T00:09:45Z
9,profnyan,282.285,2022-08-25T10:18:28Z
10,hatark,284.087,2025-07-25T16:53:24Z
11,Lmjacks,286.416,2025-06-09T08:20:33Z
12,yujene,286.586,2025-05-19T22:57:20Z
13,reorji70209,288.235,2025-01-29T14:28:59Z
14,enenSR,292.315,2025-08-08T13:24:03Z
15,0ta0ta,292.332,2022-12-24T06:16:35Z
16,SMB_10,293.335,2023-08-23T00:42:49Z
17,koralreef,293.726,2021-08-26T05:54:36Z
18,carrarium,294.729,2023-02-19T03:48:40Z
19,tokikumo,297.993,2022-05-22T07:28:28Z
20,kaxymonoxy,299.03,2025-07-30T12:31:39Z
21,danesky,299.217,2021-03-06T01:02:50Z
22,wrenpastel,301.342,2025-08-24T02:27:38Z
23,Nibruz,303.008,2023-07-09T23:58:34Z
24,bobo.,303.059,2020-07-26T04:42:20Z
25,palafrost,304.572,2022-02-28T09:22:23Z
26,Vapo,311.95,2022-05-01T12:32:36Z
27,death_unites_us,312.579,2020-06-29T22:30:13Z
28,kwan2020,312.647,2024-03-10T07:04:08Z
29,Cricter,315.639,2020-12-09T17:25:16Z
30,pabloherresp,316.217,2023-12-31T17:34:51Z
31,Goombs,316.523,2022-05-12T13:18:21Z
32,MeiTokuta,318.138,2022-08-19T19:19:46Z
33,SirNewt,318.682,2024-06-01T07:33:37Z
34,Mikshul,320.28,2025-01-27T20:57:46Z
35,UnderTempo,323.238,2022-09-18T23:27:05Z
36,Strawbpixel,323.748,2025-09-08T02:49:51Z
37,rikka2100,324.224,2022-05-01T15:35:26Z
38,Chaikitty,324.275,2020-05-24T19:41:20Z
39,Nicolas_Royet,324.292,2022-02-16T21:57:01Z
40,exorax,324.547,2025-07-13T13:32:23Z
41,MooseSR,324.683,2020-02-14T01:16:29Z
42,Sevadra,325.295,2023-11-06T02:17:12Z
43,Nose_celeb,328.321,2020-11-02T16:40:32Z
44,Thalant,328.712,2022-05-28T01:08:37Z
45,OddBod,329.324,2019-06-15T08:26:20Z
46,Detroit_yeet,337.127,2022-02-21T02:32:07Z
47,Sleepy__Dan__,341.802,2021-10-28T04:43:49Z
48,AgedWater,344.029,2023-07-15T08:35:23Z
49,ZixTray,345.763,2025-08-22T03:10:30Z
50,Ruo53685,346.953,2024-08-12T08:55:34Z
51,B3traya1_,348.823,2025-04-02T05:53:21Z
52,M4T_,349.911,2020-06-15T05:33:33Z
53,Swesie,350.608,2019-10-16T22:20:48Z
54,Chumpo,351.679,2024-01-24T11:50:03Z
55,TrevABC,356.235,2021-05-30T06:28:11Z
56,Dexy11,358.19,2025-08-12T04:44:46Z
57,GrosHiken,358.479,2020-05-22T20:36:51Z
58,luffy133,358.615,2021-04-30T16:53:22Z
59,Kriog16,359.125,2019-09-08T19:12:37Z
60,Starcrunsher,359.142,2019-05-11T22:00:28Z
61,im_sticky,360.859,2024-03-20T23:23:16Z
62,truegen,366.384,2020-02-28T01:10:06Z
63,Seisu_,367.081,2020-01-18T16:37:00Z
64,Line_Rider_0,368.356,2018-04-30T13:24:16Z
65,willow0510,369.954,2022-01-20T02:18:06Z
66,andymandias,371.79,2023-04-10T10:31:57Z
67,Punchy,373.303,2018-04-22T16:14:23Z
68,CactusSB,378.097,2021-08-26T01:46:43Z
69,LightningBladeSama,380.817,2021-11-09T03:49:54Z
70,jimmyclyde,387.6,2022-08-13T19:04:31Z
71,SnootSnoot,391.0,2023-10-28T01:20:51Z
72,Liat,393.635,2020-11-06T05:16:48Z
73,Bugname,401.438,2021-01-31T15:41:52Z
74,BrofessorOak,407.813,2023-04-06T02:00:11Z
75,Warichu,408.408,2020-02-09T17:06:43Z
76,LaMorra,410.822,2022-03-24T17:14:16Z
77,LabMAU,412.726,2021-05-27T14:10:36Z
78,De_Life_Stream,412.981,2024-10-10T22:37:00Z
79,Gentor,413.61,2022-02-04T13:28:52Z
80,a_jojo_weeb,413.627,2022-01-10T05:33:00Z
81,JerryBerry,414.222,2021-01-19T01:36:42Z
82,Blockay47665,416.194,2024-10-02T07:03:15Z
83,WesQ,417.333,2019-12-15T19:41:42Z
84,Wingdings73,418.829,2019-08-29T18:29:57Z
85,Myonbel,422.059,2023-11-04T16:45:04Z
86,kevencastro7,427.584,2020-03-29T23:38:39Z
87,Squeal,427.992,2019-11-10T09:27:13Z
89,maridon,432.191,2022-02-09T01:26:19Z
90,Puggietaur,433.347,2021-05-31T03:37:44Z
91,PeekingBoo,436.866,2021-01-15T16:39:29Z
92,WannaHavePancakes,446.624,2020-08-04T20:06:31Z
93,CapRamen,448.443,2024-02-24T10:43:40Z
94,Pilky,452.863,2024-09-11T12:42:15Z
95,OCookie,455.447,2024-10-06T18:57:14Z
96,Vallu,457.3,2018-04-20T09:39:06Z
97,Jedicobra,457.64,2020-06-26T20:36:46Z
98,NickVitale,465.409,2021-05-15T19:27:24Z
99,Banaan13,467.874,2021-10-10T10:17:16Z
100,ImKnownAsG,470.577,2019-02-13T04:04:21Z
101,RPGG,470.696,2018-10-18T02:09:02Z
102,AGLIT,475.626,2021-11-19T04:39:05Z
103,frozenflygone,480.182,2020-12-04T15:50:20Z
104,SafeTomato,486.982,2024-12-09T17:29:35Z
105,Mallix,488.801,2018-07-30T23:27:03Z
106,ShibaChrisPlays,492.745,2022-08-21T20:34:52Z
107,Angrevol,494.513,2018-02-20T02:44:45Z
