Place,Player,Time (seconds),Date Submitted
1,yujene,1933.495,2024-10-26T06:25:46Z
2,Tiyo,1934.821,2025-08-05T13:20:24Z
3,Isaactayy,1944.749,2024-08-12T15:55:33Z
4,Verdal,1946.126,2024-08-09T20:01:33Z
5,kwan2020,1989.34,2025-06-05T14:52:16Z
6,Goombs,2020.637,2022-01-16T01:15:38Z
7,Lmjacks,2029.953,2025-02-09T00:58:53Z
8,Comet625,2038.623,2022-01-20T02:26:27Z
9,tommorerow,2061.981,2022-09-10T06:16:27Z
10,Vapo,2067.2,2022-12-13T18:04:30Z
11,Mikshul,2071.076,2025-07-23T20:57:43Z
12,carrarium,2076.618,2022-09-08T17:22:48Z
13,B3traya1_,2077.74,2025-03-13T05:01:04Z
14,koralreef,2079.168,2022-01-12T02:04:48Z
15,puddingguri,2089.062,2022-01-30T13:20:45Z
16,Yuki_Layla,2145.74,2022-10-27T15:43:32Z
17,skun,2146.284,2022-01-26T06:55:35Z
18,Snowy063,2161.057,2024-12-17T00:41:56Z
19,tluo5458,2174.827,2022-01-12T02:09:54Z
20,MooseSR,2234.65,2022-01-12T02:10:58Z
21,Sevadra,2239.41,2023-10-14T17:10:42Z
22,rb_astronomy,2255.084,2022-01-12T02:12:07Z
23,Mallix,2255.679,2022-01-12T02:12:51Z
24,UnderTempo,2270.996,2022-01-21T05:01:31Z
25,Cricter,2279.122,2022-01-12T02:13:51Z
26,talia,2284.953,2022-01-20T08:51:22Z
27,willow0510,2311.014,2022-01-12T02:14:20Z
28,kivov,2327.3,2022-01-15T09:28:27Z
29,jdsmitty1,2343.824,2025-02-10T01:04:28Z
30,truegen,2370.242,2022-01-12T02:15:44Z
31,palafrost,2382.975,2022-01-12T02:16:32Z
32,PugRoy,2384.403,2022-01-12T02:18:01Z
33,Windrunner315,2384.437,2022-11-01T03:56:03Z
34,CactusSB,2389.877,2022-03-06T20:01:49Z
35,MetallicSaladFork,2453.797,2022-01-12T02:18:39Z
36,Sleepy__Dan__,2459.067,2022-01-17T03:24:47Z
37,IckleChris,2459.339,2022-01-12T02:19:11Z
38,OCookie,2492.217,2025-07-25T16:18:55Z
39,LaRynk,2501.754,2022-02-10T13:12:51Z
40,rhombical,2513.671,2024-05-05T17:34:35Z
41,Koalaila,2552.482,2025-07-29T03:53:59Z
42,KingJO444,2625.548,2024-02-08T09:56:50Z
43,frozenflygone,2655.604,2022-01-12T02:18:38Z
44,aokitw513,2786.776,2025-06-11T16:55:11Z
45,Rippy,2794.273,2022-01-12T02:17:57Z
46,orbittwz,2803.385,2022-01-12T02:17:13Z
47,joeth3br0,2807.21,2024-11-26T02:19:15Z
48,DillaGames,2821.269,2022-01-22T04:45:01Z
49,lukaco59,2823.19,2023-05-06T19:38:28Z
50,ItzPriest,2823.326,2024-05-19T22:49:07Z
51,mrjerkyjerky,2827.253,2022-01-12T02:16:34Z
52,HydratedJohn,2922.164,2022-01-12T02:15:35Z
53,WannaHavePancakes,2959.785,2022-01-12T02:14:52Z
54,Tiyenti,2960.771,2022-01-12T02:14:10Z
55,damnitgus,3014.474,2022-01-12T02:13:28Z
56,Difference,3069.146,2022-01-12T02:12:44Z
57,FCRacer,3213.663,2022-01-12T02:11:51Z
58,corkr900,3237.973,2022-11-08T01:59:30Z
59,Hydrei,3243.855,2022-01-12T02:10:35Z
60,EricJ_Math,3293.393,2022-01-12T02:09:46Z
61,LoneRaven,3313.759,2025-03-03T03:11:32Z
62,turtles10000000,3326.968,2023-11-02T08:37:41Z
63,Tayx361,3384.904,2025-11-01T22:04:23Z
64,zaphie_sr,3521.091,2023-11-02T20:26:52Z
65,Lexie,3565.665,2022-01-12T02:08:58Z
66,MathiasPF,3583.379,2022-01-12T02:08:06Z
67,zoeoiy,3973.716,2024-04-08T00:34:10Z
68,Ben_eXceL,4082.686,2025-06-18T06:41:12Z
69,brokenai,4274.548,2023-04-08T08:11:16Z
70,MarioSwitch,4675.578,2023-04-24T15:58:46Z
71,CaptainTris,8142.677,2022-01-12T02:07:19Z
72,euni,8147.063,2022-01-12T02:06:28Z
73,Etinor,9292.608,2022-01-12T02:03:53Z
