Place,Player,Time (seconds),Date Submitted
1,yujene,4965.564,2025-03-16T07:07:21Z
2,koralreef,5189.658,2021-08-25T13:59:14Z
3,Chaikitty,5218.201,2020-08-15T08:05:37Z
4,Tiyo,5258.559,2022-11-30T05:54:06Z
5,LuCaViCnE,5325.879,2024-04-19T23:43:27Z
6,Vapo,5373.326,2024-04-06T18:57:57Z
7,Lmjacks,5413.055,2025-03-14T04:35:03Z
8,Mikshul,5487.634,2025-03-12T06:00:51Z
9,OddBod,5517.996,2020-03-13T13:32:10Z
10,Millay,5740.339,2019-11-01T12:01:21Z
11,kwan2020,5863.997,2022-06-19T05:55:58Z
12,tokikumo,5988.318,2022-01-01T07:27:17Z
13,B3traya1_,5996.546,2025-03-12T19:15:37Z
14,Windrunner315,6049.331,2025-03-12T22:39:26Z
15,Sevadra,6418.911,2023-01-28T08:36:39Z
16,minecire,6575.804,2022-03-10T07:20:14Z
17,OCookie,6645.13,2024-10-07T21:16:42Z
18,DuncDuncRevolution,6786.485,2021-06-18T12:50:59Z
19,Blueye,6839.457,2019-09-24T11:53:23Z
20,UnderTempo,7069.586,2021-12-20T07:01:22Z
21,M4T_,7083.917,2022-04-20T07:20:53Z
22,SSBSpirit,7310.867,2020-03-12T06:48:16Z
23,KingJO444,7390.971,2020-05-25T20:49:20Z
24,willow0510,7415.315,2021-05-08T13:33:59Z
25,skun,7605.426,2020-11-29T20:52:07Z
26,avylazyboy,7685.938,2019-12-08T01:32:24Z
27,hanabanahana,7736.683,2025-06-12T04:08:01Z
28,cordovia,7820.357,2020-04-14T13:09:55Z
29,CactusSB,7845.908,2021-12-11T02:18:05Z
30,MaxSchnell43,8021.008,2020-06-19T04:22:19Z
31,corkr900,8215.08,2023-10-09T03:07:47Z
32,frozenflygone,8346.303,2020-11-24T16:23:44Z
33,Heccindragon,8516.218,2022-01-24T03:25:23Z
34,MrSir71,8998.338,2021-09-17T12:14:21Z
35,Renmby,9257.741,2024-06-24T14:37:47Z
36,dfloob22,9289.565,2021-06-10T19:54:55Z
37,Xenagos,9301.397,2021-01-23T09:01:57Z
38,SuperSheikah,9513.744,2019-09-14T22:42:33Z
39,Disweek,9605.646,2022-10-01T15:47:34Z
40,zaphie_sr,9897.689,2024-01-01T02:40:54Z
41,NonPlayableCactus,9916.644,2024-04-25T02:15:31Z
42,BahaRuinsEverything,10250.558,2021-04-29T20:46:01Z
43,creepcrafting56,10363.2,2022-10-17T07:51:39Z
44,Life4Nintendo,10452.348,2022-05-03T03:31:49Z
45,00asdf,10727.952,2021-03-08T14:55:38Z
46,Gnome_at_Home,11005.953,2025-05-05T03:27:02Z
47,BlueYawshi,11229.928,2021-09-28T21:04:35Z
48,araneidanGalanty,11654.435,2020-11-16T15:29:36Z
49,irisxerno,12152.246,2022-01-25T16:10:38Z
50,integraldx,13037.776,2021-04-20T02:55:22Z
51,Arkamis,13702.782,2022-03-24T18:53:51Z
52,CatMachete,14306.265,2020-06-10T22:28:24Z
53,Marlin37,14354.596,2023-04-10T05:35:44Z
54,SuperZooper3,25788.813,2021-02-21T06:16:43Z
