Place,Player,Time (seconds),Date Submitted
1,secureaccount,2993.836,2025-09-27T22:43:00Z
2,Verdal,3081.097,2025-09-22T00:02:10Z
3,yujene,3093.286,2025-05-25T20:22:14Z
4,Tiyo,3113.533,2025-09-19T00:33:00Z
5,LuCaViCnE,3162.068,2023-12-26T23:26:03Z
6,Lmjacks,3175.974,2025-10-02T02:50:55Z
7,kwan2020,3187.194,2025-09-19T05:58:41Z
8,Chaikitty,3232.312,2020-10-07T07:39:29Z
9,nero_x2,3245.215,2019-08-02T01:53:58Z
10,kaxymonoxy,3245.844,2025-09-06T23:28:44Z
11,Mikshul,3248.938,2025-09-06T23:28:05Z
12,TGH,3325.999,2019-07-11T13:32:32Z
13,exorax,3356.293,2025-09-09T23:10:30Z
14,tommorerow,3367.054,2025-09-05T17:42:59Z
15,Vapo,3369.281,2025-04-18T00:06:29Z
16,profnyan,3377.611,2023-11-08T21:52:35Z
17,koralreef,3383.748,2021-05-29T06:53:49Z
18,OddBod,3408.398,2020-03-10T22:50:42Z
19,Msushi,3421.012,2020-03-26T01:11:42Z
20,B3traya1_,3492.14,2025-03-15T17:32:53Z
21,Rubiks37,3511.656,2025-09-10T20:05:56Z
22,Thalant,3529.081,2022-05-29T18:23:57Z
23,hunyjoa,3529.71,2022-07-21T16:07:51Z
24,manbou_rubik,3549.192,2021-04-24T16:34:11Z
25,jimmyclyde,3564.696,2023-07-14T16:48:08Z
26,UnderTempo,3567.263,2022-10-03T03:45:08Z
27,Sevadra,3568.606,2023-11-20T05:40:48Z
28,Psyched,3573.808,2019-07-26T13:24:25Z
29,Sleepy__Dan__,3593.783,2021-12-10T05:37:22Z
30,MooseSR,3597.982,2020-03-22T02:54:49Z
31,Windrunner315,3603.507,2025-07-06T05:44:10Z
32,Dexy11,3625.607,2025-09-07T22:17:35Z
33,carrarium,3693.216,2021-06-22T05:39:51Z
34,Comet625,3757.153,2021-04-28T03:55:40Z
35,maivee,3760.944,2021-08-03T03:11:54Z
36,problemstrol,3773.677,2019-01-25T09:26:18Z
37,Cricter,3781.021,2020-09-08T17:54:26Z
38,RakiTTV,3879.842,2021-08-16T15:27:56Z
39,Blueye,3940.345,2020-11-03T11:30:39Z
40,GasSalad,3971.506,2025-09-03T10:44:02Z
41,willow0510,3993.402,2022-01-20T03:43:32Z
42,SSBSpirit,4114.068,2020-11-18T06:18:49Z
43,CactusSB,4167.074,2022-10-30T13:38:06Z
44,Mallix,4182.731,2020-10-21T18:34:19Z
45,Bruce,4227.679,2020-05-02T17:19:41Z
46,mrjerkyjerky,4236.349,2025-09-10T16:55:38Z
47,metagloria,4241.041,2022-02-18T04:25:23Z
48,DuncDuncRevolution,4313.75,2021-06-15T01:04:37Z
49,OCookie,4334.864,2024-10-06T15:42:29Z
50,Jumpyluff,4346.016,2019-03-11T03:09:31Z
51,encryptid,4351.337,2019-03-19T17:11:50Z
52,Marlin,4410.565,2019-01-02T20:27:58Z
53,2deoxyribose,4429.384,2023-07-31T02:51:58Z
54,truegen,4446.299,2020-03-13T23:56:36Z
55,ItzBlasee,4450.77,2025-11-17T19:30:15Z
56,Alex3004,4473.057,2025-09-07T14:08:12Z
57,hanabanahana,4476.151,2025-09-07T01:07:46Z
58,Benteezy,4527.576,2018-09-10T06:58:37Z
59,Sickly,4776.983,2021-04-27T00:58:35Z
60,KingJO444,4843.232,2020-05-16T07:42:06Z
61,avylazyboy,4855.914,2020-03-08T03:51:39Z
62,skun,4920.395,2020-11-19T06:56:07Z
63,Xenoras,5042.285,2020-08-11T21:27:49Z
64,SpeedBreaker,5151.238,2023-08-15T19:52:55Z
65,dahlukeh,5195.285,2019-08-16T06:35:38Z
66,Superbasen,5220.785,2020-04-04T22:19:44Z
67,Disweek,5352.552,2025-04-01T12:20:22Z
68,maybeGVST,5356.632,2024-06-26T00:18:43Z
69,frozenflygone,5392.332,2020-12-02T14:29:26Z
70,Pilky,5431.381,2024-09-13T02:43:44Z
71,flippy625,5533.245,2025-10-14T00:27:21Z
72,dfloob22,5556.875,2021-06-10T20:03:14Z
73,Perodi,5671.03,2018-12-02T04:20:15Z
74,Lambech1,5776.6,2024-05-14T00:34:49Z
75,caseyreese,5829.419,2025-08-17T08:24:56Z
76,LoneRaven,5830.745,2025-03-19T02:33:33Z
77,ComplexBeaver,5911.58,2024-03-08T02:48:48Z
78,JAN_is_EXIST,5999.181,2021-06-09T20:46:44Z
79,nemo1418,6077.313,2024-09-18T03:40:41Z
80,Lemons_Picrun,6124.726,2024-03-12T14:23:58Z
81,Maxel53,6277.981,2025-07-19T21:38:34Z
82,zaj_mahal,6404.58,2025-08-11T02:39:05Z
83,UTSC,6416.48,2021-09-17T20:04:54Z
84,zaphie_sr,6481.981,2023-12-30T09:41:26Z
85,FoxoftheFlame,6536.534,2019-09-11T17:33:32Z
86,MarkAlarm,6545.272,2020-07-17T16:30:26Z
87,ThunderVolt00,6680.711,2022-05-13T01:34:56Z
88,damnitgus,6796.158,2020-09-07T09:42:04Z
89,MrTacoEater,6831.161,2025-08-11T02:54:01Z
90,Epyc,7058.332,2022-10-03T20:38:44Z
91,DJCarmichael,7198.038,2018-11-29T09:29:38Z
92,Zurai,7571.902,2018-11-29T09:28:45Z
93,MonsieurFerret,7693.469,2021-06-06T22:02:08Z
94,FCRacer,7785.082,2020-07-17T02:33:54Z
95,demian04_rta,7789.349,2019-02-21T17:28:26Z
96,Alien,8186.129,2023-05-18T10:42:59Z
97,corkr900,8307.917,2021-10-02T06:47:45Z
98,Liat,8457.347,2020-12-15T04:54:37Z
99,Angrevol,8523.783,2018-11-29T09:27:34Z
100,AndyLoiri,9356.664,2025-10-30T23:30:56Z
101,NajimiAmethyst,9717.999,2018-11-29T09:25:25Z
102,Moucheron_Quipet,9802.523,2021-02-23T03:54:07Z
103,Syura,10304.686,2025-09-03T19:36:49Z
104,JakeLH,10519.43,2018-08-30T11:35:30Z
105,Etinor,10548.551,2023-02-17T12:52:25Z
106,otobot1,10565.755,2021-04-12T13:00:25Z
107,Andy,11974.851,2018-11-29T09:22:50Z
108,Xenagos,14025.816,2020-06-16T07:54:36Z
109,SuperZooper3,25788.813,2021-02-21T06:15:55Z
