Place,Player,Time (seconds),Date Submitted
1,Isaactayy,2687.972,2024-01-04T01:29:17Z
2,koralreef,2734.144,2022-02-27T21:41:56Z
3,Verdal,2745.245,2024-02-19T19:08:39Z
4,Goombs,2754.612,2023-08-28T12:23:52Z
5,Tiyo,2759.066,2024-03-03T17:04:36Z
6,wonderginger,2765.628,2025-04-17T16:29:12Z
7,LuCaViCnE,2780.027,2023-08-22T00:04:58Z
8,yujene,2798.064,2025-01-24T20:27:58Z
9,Evansfight,2812.514,2021-06-15T08:21:49Z
10,buhbai,2832.013,2020-03-19T23:32:56Z
11,ruyunata,2847.772,2021-10-02T16:26:47Z
12,kwan2020,2874.394,2024-07-02T02:08:34Z
13,enenSR,2876.298,2023-08-14T22:26:04Z
14,Marlin,2900.013,2020-04-24T18:40:17Z
15,GrosHiken,2904.909,2022-05-20T23:30:36Z
16,Comet625,2909.006,2023-12-26T06:40:13Z
17,tempfelix,2924.34,2023-12-02T17:55:12Z
18,Chaikitty,2925.547,2020-05-01T08:02:13Z
19,Sowiat,2928.097,2025-11-15T01:48:02Z
20,nero_x2,2934.54,2019-07-01T19:25:46Z
21,Vapo,2940.099,2023-08-06T20:37:33Z
22,TGH,2940.303,2019-06-16T10:56:48Z
23,Poncle,2946.168,2025-04-12T20:05:55Z
24,CatmanBuh,2964.375,2024-01-27T00:53:16Z
25,goofgoose,2969.084,2023-08-20T23:10:27Z
26,abbysky,2969.849,2022-01-09T01:32:38Z
27,tokikumo,2972.076,2023-10-15T21:02:43Z
28,jimmyclyde,2977.686,2023-08-07T15:28:51Z
29,Mikshul,2981.443,2024-11-25T20:58:24Z
30,OddBod,2982.208,2020-03-31T13:42:08Z
31,Snowy063,2983.313,2025-10-14T17:18:23Z
32,Nibruz,2987.631,2024-03-18T09:35:01Z
33,tommorerow,2988.362,2022-02-09T01:27:31Z
34,Lmjacks,2997.355,2025-03-14T05:17:20Z
35,rosemarrryy,2997.542,2024-01-28T08:03:03Z
36,thom148,2997.916,2023-08-14T22:43:07Z
37,Windrunner315,3013.964,2025-05-27T01:56:07Z
38,OliviaPG,3031.321,2025-05-01T22:02:20Z
39,tluo5458,3049.732,2021-04-11T20:18:13Z
40,AgedWater,3050.803,2023-08-07T16:16:46Z
41,hunyjoa,3059.371,2022-07-06T09:54:58Z
42,raccoon_gal,3065.525,2023-11-08T19:34:17Z
43,NovaSagittarii,3067.157,2023-08-08T10:26:54Z
44,carrarium,3103.452,2022-12-31T06:19:06Z
45,Cricter,3112.445,2020-04-19T16:22:26Z
46,oolimry,3119.313,2023-12-09T03:21:59Z
47,Sevadra,3123.308,2023-08-07T00:02:59Z
48,Msushi,3127.932,2020-03-15T21:26:27Z
49,Boss219,3142.382,2022-07-02T22:21:57Z
50,bevocitofoni,3147.193,2020-11-12T22:29:50Z
51,Leotxr,3156.39,2025-08-29T16:09:43Z
52,GasSalad,3157.92,2025-11-20T16:55:48Z
53,profnyan,3180.87,2023-12-14T08:54:57Z
54,B3traya1_,3184.389,2025-03-29T04:34:22Z
55,Avikaielef,3202.222,2021-02-24T22:26:48Z
56,LOLEnigMatic,3210.11,2021-04-07T15:30:12Z
57,skun,3237.48,2023-01-15T19:52:35Z
58,ItzPriest,3246.762,2025-11-23T23:42:05Z
59,SirNewt,3260.821,2023-08-20T04:55:20Z
60,Nose_celeb,3277.26,2021-02-13T07:12:24Z
61,BabaYetu42,3277.532,2021-08-16T14:17:36Z
62,ezli,3283.142,2025-09-28T16:04:18Z
63,problemstrol,3287.239,2019-04-19T16:46:28Z
64,SMB_10,3315.085,2023-08-06T19:08:22Z
65,wibs,3315.527,2023-08-06T21:25:45Z
66,Sickly,3322.14,2021-01-29T20:51:02Z
67,MooseSR,3334.431,2019-03-06T14:17:29Z
68,catastrophic_cookie,3337.576,2023-08-27T18:27:48Z
69,LilySR,3337.865,2024-02-14T13:33:18Z
70,Dragon512,3342.591,2023-08-05T23:13:22Z
71,Rubiks37,3345.294,2025-11-25T16:26:41Z
72,blazequilava,3362.685,2023-10-20T17:53:16Z
73,Geflüt,3384.972,2024-06-08T17:04:47Z
74,AverageImposter,3396.141,2023-11-30T16:58:28Z
75,UnderTempo,3402.193,2022-04-20T01:10:26Z
76,CactusSB,3403.604,2023-04-21T23:40:06Z
77,kaxymonoxy,3410.03,2022-10-08T22:44:09Z
78,rhelmot,3410.948,2023-07-20T15:55:16Z
79,Sadler,3426.384,2021-09-17T19:43:00Z
80,Seraphira,3432.725,2024-05-01T12:53:03Z
81,IckleChris,3433.235,2023-10-19T16:22:50Z
82,GeneOloro,3437.247,2023-04-02T07:50:47Z
83,Swesie,3454.264,2019-12-22T20:10:48Z
84,Blairiam,3456.916,2020-07-14T10:25:14Z
85,bewnie,3457.443,2020-11-02T15:20:39Z
86,willow0510,3465.858,2023-06-13T08:16:52Z
87,simplex_g64,3468.578,2023-09-13T04:16:22Z
88,retrisma_crab,3471.196,2022-04-09T23:06:19Z
89,maridon,3478.149,2025-01-12T22:25:16Z
90,GamerShark12,3484.082,2025-07-29T16:46:36Z
91,death_unites_us,3485.799,2021-03-11T04:22:28Z
92,Arpeggio,3486.921,2023-04-14T18:15:44Z
93,Detroit_yeet,3498.855,2022-06-12T01:40:01Z
94,SuperZooper3,3502.068,2021-11-21T05:41:38Z
95,encryptid,3505.349,2019-04-26T16:56:26Z
96,SatelliteSam,3509.276,2023-07-12T01:37:51Z
97,steven123505,3519.578,2025-09-28T05:36:13Z
98,PugRoy,3521.55,2020-04-25T00:27:34Z
99,LaMorra,3525.613,2021-06-24T18:03:15Z
100,Jankmo,3530.356,2024-05-23T02:20:21Z
101,maybeGVST,3535.643,2025-06-05T11:11:13Z
102,Talent336,3537.87,2022-03-31T11:28:29Z
103,Snowy,3539.196,2023-09-07T00:18:53Z
104,Kriog16,3547.798,2020-02-08T19:09:39Z
105,hovs,3554.309,2024-02-01T23:00:47Z
106,Yuki_Layla,3555.057,2022-07-23T05:28:40Z
107,DuncDuncRevolution,3556.757,2021-05-29T06:14:26Z
108,Jumpyluff,3559.154,2019-03-18T05:54:59Z
109,jdsmitty1,3559.562,2025-01-17T04:27:34Z
110,frozenflygone,3567.841,2022-07-21T21:10:26Z
111,revolucion,3568.351,2018-12-20T10:29:32Z
112,Xenoras,3571.547,2020-09-15T20:58:27Z
113,Geolubread,3571.717,2024-11-08T23:37:13Z
114,SaltyJerms,3575.1,2022-05-12T06:32:52Z
115,Chtholly1nota,3579.486,2022-07-29T17:14:01Z
116,nitrosquid,3582.529,2022-02-10T05:06:52Z
117,IDAX1224,3583.481,2021-08-02T11:57:30Z
