Place,Player,Time (seconds),Date Submitted
1,secureaccount,1491.495,2024-11-21T07:36:30Z
2,Lyreins,1503.82,2025-06-27T20:30:08Z
3,Isaactayy,1534.658,2024-10-25T19:43:50Z
4,Verdal,1538.398,2025-02-14T23:09:01Z
5,Kezaron,1540.744,2024-10-21T21:14:37Z
6,jimmyclyde,1550.995,2025-07-16T06:21:17Z
7,Tiyo,1558.56,2025-07-09T21:43:00Z
8,yujene,1566.397,2025-05-06T00:23:46Z
9,Zkad,1574.523,2022-01-21T04:17:43Z
10,LilySR,1576.24,2025-11-08T21:26:25Z
11,Goombs,1580.065,2024-10-17T00:22:08Z
12,rosemarrryy,1581.612,2024-10-13T01:32:22Z
13,Marlin,1583.312,2021-10-04T20:59:58Z
14,koralreef,1585.675,2022-11-10T06:34:22Z
15,PedroNeves027,1588.922,2023-08-31T23:17:26Z
16,Evansfight,1589.16,2022-07-30T08:58:42Z
17,buhbai,1589.194,2021-02-07T21:04:39Z
18,Jackthewack,1593.138,2025-08-03T02:40:06Z
19,ebre,1593.58,2024-12-30T15:14:42Z
20,CatmanBuh,1602.692,2024-09-28T23:51:31Z
21,GrosHiken,1603.134,2023-03-27T16:01:10Z
22,Mikshul,1609.271,2025-11-11T19:45:27Z
23,TiberCHSL,1609.424,2021-08-11T21:45:22Z
24,wonderginger,1609.526,2024-10-24T06:09:49Z
25,Comet625,1609.815,2023-09-03T06:44:21Z
26,Nibruz,1612.875,2025-08-16T16:53:41Z
27,Corts,1613.079,2025-08-16T09:11:00Z
28,enenSR,1617.125,2024-11-27T20:47:25Z
29,profnyan,1617.72,2021-09-25T13:02:07Z
30,LuCaViCnE,1618.298,2024-08-06T23:45:09Z
31,RakiTTV,1618.502,2022-04-08T23:15:26Z
32,zVypurr,1619.828,2025-08-21T22:36:05Z
33,Millay,1619.964,2022-02-15T20:17:41Z
34,TGH,1622.514,2020-03-16T19:36:04Z
35,abbysky,1623.024,2022-03-31T19:43:52Z
36,Aubrey,1624.435,2022-07-23T12:39:08Z
37,thom148,1625.506,2024-07-15T21:50:13Z
38,Fladervy,1627.631,2021-07-17T02:08:33Z
