Place,Player,Time (seconds),Date Submitted
1,secureaccount,1913.571,2025-10-10T07:58:56Z
2,Jackthewack,1928.242,2025-08-14T15:25:13Z
3,yujene,1953.232,2025-05-21T05:20:38Z
4,Tiyo,1956.054,2022-08-21T22:22:11Z
5,Marlin,1964.588,2022-08-21T21:04:12Z
6,abbysky,1987.538,2022-07-20T12:29:23Z
7,Verdal,2005.762,2025-02-14T10:21:12Z
8,auroradash,2008.482,2022-04-21T14:03:38Z
9,kwan2020,2020.042,2025-06-12T07:13:41Z
10,ebre,2024.343,2022-08-11T19:57:46Z
11,Lmjacks,2024.836,2025-02-08T22:22:06Z
12,tempfelix,2033.353,2023-05-30T14:23:11Z
13,carrarium,2036.753,2022-11-17T21:40:10Z
14,Comet625,2041.547,2024-08-05T23:52:02Z
15,Goombs,2056.558,2022-08-10T17:07:41Z
16,Vapo,2061.624,2024-04-08T20:43:43Z
17,GrosHiken,2062.117,2022-08-10T17:57:38Z
18,Thalant,2072.504,2022-08-12T09:41:22Z
19,talia,2076.108,2022-07-29T21:51:06Z
20,RakiTTV,2085.662,2022-05-01T09:22:17Z
21,OddBod,2086.665,2022-04-21T14:05:42Z
22,Sleepy__Dan__,2091.204,2022-08-13T06:03:47Z
23,tommorerow,2099.262,2022-11-03T13:25:30Z
24,B3traya1_,2120.019,2025-02-12T23:43:05Z
25,UnderTempo,2151.996,2022-08-21T21:55:03Z
26,Avoo,2154.257,2022-06-13T21:56:06Z
27,Mikshul,2175.558,2024-09-30T22:44:23Z
28,MooseSR,2176.527,2022-04-21T14:12:47Z
29,Boss219,2180.743,2022-07-28T18:09:26Z
30,retrisma_crab,2185.503,2022-07-28T03:02:16Z
31,Isaactayy,2203.217,2025-02-06T01:49:45Z
32,IckleChris,2273.937,2022-05-12T00:45:45Z
33,Rubiks37,2274.923,2025-07-10T04:50:58Z
34,Windrunner315,2277.184,2025-03-12T19:49:11Z
35,Dexy11,2313.7,2025-08-10T05:00:24Z
36,SirNewt,2326.858,2022-11-18T16:59:19Z
37,Seraphira,2330.734,2024-10-10T11:28:15Z
38,Sevadra,2346.68,2022-11-18T05:25:26Z
39,Talent336,2353.225,2022-05-04T19:12:37Z
40,Psyched,2362.337,2022-04-21T14:23:42Z
41,PocketWraith,2371.109,2023-07-25T19:30:52Z
42,SuperZooper3,2375.325,2022-07-30T05:05:25Z
43,problemstrol,2397.68,2022-04-21T14:26:46Z
44,Marki123,2424.438,2025-02-17T07:06:04Z
45,rhelmot,2443.393,2022-07-22T20:20:47Z
46,revolucion,2470.593,2022-04-21T14:28:54Z
47,pensive_cola,2513.076,2022-04-21T14:29:33Z
48,rhombical,2519.451,2025-05-23T00:43:59Z
49,Stuttgarden,2537.743,2022-04-21T14:30:11Z
50,willow0510,2541.024,2022-04-21T14:29:57Z
51,Squeal,2543.404,2022-04-21T14:29:10Z
52,Misty_FT,2562.206,2025-02-27T01:39:26Z
53,Chaikitty,2564.45,2022-04-21T14:27:22Z
54,IDAX1224,2582.793,2022-04-21T14:26:29Z
55,kivov,2619.207,2022-04-21T14:25:24Z
56,Wander_F,2651.235,2025-08-22T01:25:34Z
57,Furiz,2680.424,2023-12-16T10:11:14Z
58,Strawbpixel,2685.201,2025-08-15T22:36:43Z
59,Msushi,2695.299,2022-04-21T14:23:19Z
60,morraconda,2716.991,2022-07-20T22:03:52Z
61,OCookie,2735.674,2024-10-06T13:08:07Z
62,hanabanahana,2744.191,2025-09-21T02:04:42Z
63,Xenoras,2781.285,2022-04-21T14:22:22Z
64,stardust054,2787.779,2023-11-01T19:53:28Z
65,gv_ana,2791.145,2022-04-21T14:21:26Z
66,Bullet_Bill,2831.044,2023-03-16T23:14:06Z
67,metagloria,2839.306,2022-04-21T14:20:30Z
68,Poncle,2865.129,2022-08-07T03:26:52Z
69,FreezerGlobe,2870.722,2022-12-22T11:44:10Z
70,zeldo1,2876.162,2022-08-18T17:58:00Z
71,Hirassy,2887.229,2023-11-03T16:55:41Z
72,SatelliteSam,2900.693,2022-11-02T14:17:56Z
