Place,Player,Time (seconds),Date Submitted
1,Isaactayy,2632.671,2025-03-12T16:46:39Z
2,yujene,2735.351,2025-02-16T03:34:37Z
3,GrosHiken,2742.729,2022-02-07T12:25:35Z
4,LuCaViCnE,2767.022,2024-05-27T22:49:09Z
5,puddingguri,2801.073,2021-12-19T16:06:33Z
6,Chaikitty,2829.191,2021-01-16T09:07:14Z
7,koralreef,2853.654,2021-01-23T10:12:27Z
8,Mikshul,2887.042,2025-10-23T21:48:53Z
9,TGH,2905.249,2020-06-12T01:50:01Z
10,Vapo,2907.578,2022-12-20T23:13:36Z
11,manbou_rubik,2912.729,2021-11-23T14:58:49Z
12,Sleepy__Dan__,2924.884,2022-11-20T05:06:00Z
13,Comet625,2928.964,2021-06-04T20:19:17Z
14,nero_x2,2936.223,2019-10-01T05:38:16Z
15,kwan2020,2937.94,2024-01-17T07:16:45Z
16,Majoog,2952.543,2024-02-28T08:51:42Z
17,maridon,2962.386,2025-05-07T22:06:50Z
18,hunyjoa,2980.729,2022-07-15T15:47:05Z
19,tokikumo,2982.854,2021-12-17T00:21:19Z
20,Tiyo,2983.177,2021-12-14T23:15:02Z
21,Psyched,2985.557,2020-01-22T16:40:23Z
22,Msushi,2998.562,2019-12-23T13:40:30Z
23,Lmjacks,3038.971,2025-02-12T06:56:46Z
24,Blairiam,3050.259,2021-04-22T07:47:16Z
25,Goombs,3057.042,2022-01-01T13:16:36Z
26,rosemarrryy,3058.861,2023-12-06T09:33:37Z
27,raccoon_gal,3119.126,2022-10-04T10:35:21Z
28,Furiz,3130.125,2025-07-06T14:54:41Z
29,jimmyclyde,3142.28,2023-07-22T09:26:13Z
30,OddBod,3145.442,2019-11-03T22:23:58Z
31,Windrunner315,3168.477,2025-02-16T15:41:39Z
32,exorax,3176.11,2022-11-29T21:45:58Z
33,B3traya1_,3183.233,2025-03-14T22:02:35Z
34,UnderTempo,3195.422,2022-01-27T23:51:29Z
35,Nose_celeb,3200.182,2021-03-24T07:58:35Z
36,bewnie,3201.695,2022-12-13T22:30:39Z
37,CactusSB,3209.634,2022-07-05T14:38:44Z
38,profnyan,3212.677,2024-03-24T01:09:28Z
39,ItzBlasee,3240.489,2025-11-25T13:24:43Z
40,maivee,3253.817,2021-08-24T04:08:40Z
41,flarebear,3270.222,2019-10-05T09:29:47Z
42,skun,3270.443,2022-09-23T16:49:44Z
43,rhelmot,3282.513,2023-07-16T04:25:58Z
44,FarewellYun,3292.968,2023-05-05T17:20:39Z
45,Marlin,3297.915,2019-09-15T17:08:44Z
46,Cricter,3303.542,2020-09-08T17:52:51Z
47,carrarium,3309.577,2021-01-21T02:22:09Z
48,Blueye,3328.6,2020-02-14T10:02:16Z
49,AgedWater,3329.994,2023-04-02T07:55:41Z
50,SirNewt,3369.638,2024-08-20T07:27:15Z
51,Seraphira,3374.33,2024-08-14T15:25:46Z
52,Rubiks37,3376.319,2025-05-04T13:58:50Z
53,willow0510,3386.604,2022-01-13T20:37:15Z
54,Sevadra,3417.935,2023-07-31T03:17:51Z
55,Boss219,3423.239,2021-04-13T22:11:50Z
56,DadVlad,3440.137,2022-04-21T21:41:26Z
57,Detroit_yeet,3446.546,2022-11-20T04:34:45Z
58,oolimry,3450.473,2022-10-29T06:56:00Z
59,Kriog16,3461.727,2020-02-23T11:02:30Z
60,M4T_,3462.305,2022-06-18T21:28:36Z
61,LaMorra,3487.788,2021-12-17T19:52:18Z
62,Forte,3532.685,2020-06-10T20:17:19Z
63,goofgoose,3535.847,2025-07-25T02:06:59Z
64,SMB_10,3539.961,2023-09-27T01:00:20Z
65,DuncDuncRevolution,3542.154,2021-03-02T01:38:43Z
66,wibs,3546.829,2024-02-29T08:42:03Z
67,Perodi,3557.964,2022-01-30T04:33:02Z
68,Thalant,3563.795,2021-12-05T22:15:18Z
69,death_unites_us,3566.396,2020-12-31T03:34:27Z
70,Ekhalyocthor,3568.963,2023-10-21T20:21:37Z
71,frozenflygone,3571.547,2021-02-11T06:36:37Z
72,Kaleva,3573.026,2021-05-03T11:05:55Z
73,Yuki_Layla,3577.718,2020-11-23T08:30:34Z
74,foxxx,3585.164,2025-04-14T15:21:33Z
75,avylazyboy,3596.656,2020-04-24T16:02:20Z
76,wpxtmvpsxm,3599.971,2021-05-21T23:25:37Z
77,GuardianRTz,3617.209,2021-08-29T01:33:27Z
78,OCookie,3619.453,2024-10-05T18:26:23Z
79,Megdal02,3630.095,2024-01-19T18:09:11Z
80,Origamikid,3689.493,2020-05-21T13:05:52Z
81,KingJO444,3706.068,2023-11-02T07:06:12Z
82,Dakaisan,3778.352,2019-09-28T02:33:59Z
83,BirdSalad,3786.189,2023-01-01T11:03:48Z
84,ImRoboto,3795.981,2024-10-28T18:36:27Z
85,yagg,3796.015,2021-07-16T17:31:15Z
86,Markers011,3797.086,2021-03-11T23:39:15Z
87,PetresInc,3834.112,2020-01-11T01:30:53Z
88,BreadUwU,3835.319,2022-12-22T11:18:24Z
89,Mechafinch,3867.551,2025-08-19T03:04:46Z
90,aokitw513,3875.099,2025-06-04T00:43:57Z
91,Squeal,3919.775,2019-09-15T06:55:53Z
92,Talent336,3923.855,2021-07-29T15:21:56Z
93,NotrahcL,3937.489,2025-02-26T16:11:23Z
94,PickPig,3952.16,2019-09-15T17:15:17Z
95,SSBSpirit,3958.569,2020-05-19T06:54:48Z
96,juckter,3971.523,2021-02-27T01:20:25Z
97,2deoxyribose,4028.048,2023-03-04T01:40:20Z
98,Lumaline,4030.292,2019-11-11T00:33:33Z
99,ShodanKid,4083.366,2021-01-15T06:48:42Z
100,hanabanahana,4109.988,2025-05-14T02:20:58Z
101,truegen,4164.099,2019-09-14T03:25:13Z
102,MaxSchnell43,4175.404,2020-05-15T22:54:52Z
103,Wander_F,4187.746,2024-04-24T18:32:22Z
104,dfloob22,4260.999,2025-02-12T06:01:39Z
105,Lambech1,4276.265,2025-10-30T05:31:55Z
106,hurryslowly,4277.047,2021-05-10T18:14:45Z
107,Synth_IA_,4314.685,2023-03-18T00:08:08Z
