Place,Player,Time (seconds),Date Submitted
1,Suigi,5728,2024-11-04T05:39:48Z
2,Karin,5730,2025-08-15T03:07:38Z
4,Weegee,5762,2024-07-07T17:33:13Z
5,Kally,5793,2025-05-01T21:52:00Z
6,Parsee02,5804,2024-05-16T04:38:07Z
6,cheese,5804,2024-06-12T23:32:21Z
8,Smau,5806,2025-11-08T13:03:30Z
9,marlene,5807,2025-06-30T23:25:48Z
10,simply,5826,2024-09-29T17:44:24Z
11,BeastAssassin67,5827,2025-02-26T09:05:45Z
12,Liam,5837,2023-11-23T15:29:50Z
13,puncayshun,5846,2024-10-06T18:08:39Z
14,batora,5860,2023-11-13T15:12:15Z
15,Dezanig,5875,2024-03-21T19:42:58Z
15,beeve,5875,2025-04-23T01:50:46Z
17,Mauir,5901,2024-07-16T04:54:08Z
18,Dowsky,5909,2024-02-12T11:54:55Z
19,Raisn,5923,2025-06-18T23:32:57Z
20,KETSUMANKO,5925,2024-03-20T11:39:31Z
21,jaquarium,5932,2025-11-21T21:17:47Z
22,GothicLogic,5933,2024-07-14T06:13:12Z
23,hokorobi,5934,2021-01-30T17:28:58Z
23,Taggo,5934,2021-06-26T23:42:27Z
25,Dekudude,5938,2024-09-09T20:39:22Z
26,Paracusia,5940,2021-09-24T14:00:24Z
27,taciturn,5942,2024-08-06T07:09:33Z
28,Dwhatever,5947,2023-10-19T19:03:35Z
29,BlueBob,5949,2024-05-21T17:40:43Z
30,Avatar,5951,2025-10-12T18:57:50Z
31,RianDiCielo,5959,2024-07-14T21:05:50Z
31,ANYUJIN,5959,2025-07-19T17:38:00Z
33,Sabxander,5961,2025-02-03T14:01:35Z
34,Gainai,5962,2025-11-03T21:16:14Z
35,Nebula,5968,2021-03-10T04:46:11Z
36,HorrorDoesSpeedRuns,5971,2024-12-18T20:38:38Z
37,Odme_,5984,2025-02-10T18:59:07Z
38,crazywhw,5986,2025-05-05T05:17:30Z
39,Sigotu,5991,2022-02-12T10:54:57Z
39,Taki,5991,2023-06-23T01:30:46Z
41,sorichi,5993,2024-10-15T02:00:08Z
42,FailmanFlo,5994,2024-03-10T05:37:22Z
