Place,Player,Time (seconds),Date Submitted
1,ShinyZeni,4337.8,2024-03-02T22:56:44Z
2,Behemoth87,4344.25,2024-01-31T16:47:53Z
3,zoast,4375.0,2021-07-02T12:31:43Z
4,Static_Shock,4379.0,2025-08-16T00:46:41Z
5,Gebbu,4392.0,2023-05-08T21:08:40Z
6,Oatsngoats,4429.0,2024-03-27T20:17:31Z
7,CScottyW,4458.0,2023-06-28T03:14:02Z
9,razon2,4531.0,2025-08-14T01:19:27Z
10,ARealCutie,4532.0,2023-09-10T06:06:11Z
11,mrguyaverage,4540.0,2023-07-11T22:11:48Z
12,timmon,4564.0,2023-10-05T22:46:44Z
13,Overfiendvip,4571.0,2017-10-04T11:47:16Z
13,sloaters27,4571.0,2020-10-25T23:14:02Z
13,susreime,4571.0,2022-07-31T02:54:36Z
16,FinnTyph,4572.0,2025-10-26T03:15:36Z
17,kottpower,4576.0,2017-01-03T05:02:40Z
18,smelon,4605.0,2023-09-05T06:14:39Z
19,Brjoker94,4609.89,2024-07-13T04:06:03Z
20,LakeDemon,4628.0,2022-06-01T01:37:10Z
21,WildAnaconda69,4638.86,2024-02-05T22:06:36Z
22,TopsyTurve,4645.0,2019-03-24T22:19:52Z
23,Eddie,4655.0,2023-09-07T01:24:45Z
24,osse101,4658.0,2020-10-18T20:50:59Z
24,omnigazer,4658.0,2024-02-13T14:23:18Z
26,TattedRetro,4661.063,2023-01-03T02:13:00Z
27,mm2nescartridge,4662.0,2024-11-26T01:31:04Z
28,Kipp,4671.0,2020-11-06T00:51:34Z
29,Ivan,4682.0,
30,amarovski,4687.0,2024-08-24T04:43:41Z
31,just_defend,4690.0,2019-06-14T14:58:14Z
32,Enmet,4702.0,2018-06-06T16:10:50Z
33,hotarubi_ta,4708.0,2021-02-27T07:50:55Z
34,bressingham,4709.0,2023-09-01T03:31:54Z
35,eHolden,4715.0,2023-06-30T03:26:21Z
36,n0la_3,4716.0,2024-04-29T17:56:19Z
37,Tullymarfus,4717.0,2023-11-04T15:15:04Z
38,sweetnumb,4721.0,
39,professorschool,4728.0,2023-08-18T05:28:00Z
40,andreww,4732.0,2017-03-01T09:50:13Z
41,SKY85,4733.0,2025-07-25T23:39:52Z
42,phatscott25,4736.02,2024-06-05T02:07:14Z
