Place,Player,Time (seconds),Date Submitted
1,Ruya,660.0,2021-11-30T13:28:14Z
2,ShinyZeni,698.0,2018-10-09T19:23:11Z
4,matrick2298,796.0,2017-06-06T21:25:04Z
5,Sniq,804.0,
6,antimatterhorse,811.0,2023-04-29T05:59:37Z
7,LakeDemon,823.0,2020-07-29T21:39:16Z
8,Ivan,827.0,
9,Feral,831.0,2017-03-03T13:32:24Z
10,total,863.0,
11,SKY85,868.0,2025-11-23T02:40:21Z
12,sucaba,880.0,2021-01-23T19:00:45Z
13,UNHchabo,885.0,2019-12-20T08:35:06Z
14,Robitalion,889.0,2020-03-29T19:07:51Z
15,JustNotAFox,941.0,2020-09-24T04:06:52Z
16,Audraxys,950.0,2017-02-20T00:01:07Z
17,fuerchter,963.0,
18,Schmeman,966.0,2017-01-24T22:28:29Z
19,Saron_Gas,968.0,
20,Oopla,977.0,2025-02-18T22:33:00Z
21,fyodorjung,1009.0,2017-03-20T09:42:14Z
22,Oatsngoats,1010.0,
23,RockslamX,1066.0,2017-06-06T13:41:35Z
24,fruitbatsalad,1072.0,2018-01-10T20:25:43Z
25,BFrobber,1128.0,2021-03-10T02:59:21Z
26,beeps,1166.0,2018-07-11T23:21:04Z
27,Thizzfface,1279.0,2017-03-22T00:29:41Z
28,Enmet,1289.0,2017-01-08T18:26:18Z
29,Straevaras,1337.0,
30,AranJaeger,1791.0,
31,Kingofthehill47,3053.0,2019-03-24T07:08:28Z
32,Purple_Samurai,5057.074,2023-09-16T16:12:15Z
