Place,Player,Time (seconds),Date Submitted
1,ShinyZeni,2422.01,2025-02-01T10:24:53Z
2,Oatsngoats,2436.0,2023-08-05T03:49:39Z
3,Drewski_i,2443.0,2024-09-20T20:22:11Z
4,zoast,2445.0,2022-10-26T12:56:08Z
5,Behemoth87,2451.634,2025-08-07T00:00:32Z
6,Overfiendvip,2473.0,2024-11-01T06:33:35Z
7,ARealCutie,2477.0,2023-01-23T23:35:54Z
8,Eddie,2478.0,2022-11-14T04:21:39Z
9,Ruya,2487.0,2024-05-09T01:53:52Z
10,Gebbu,2497.0,2025-03-22T14:18:18Z
11,razon2,2505.0,2024-09-17T23:35:57Z
12,Imyt,2512.0,2024-02-12T04:34:47Z
12,smCharles,2512.0,2025-05-25T13:38:24Z
15,Cloud9Mitchell,2515.0,2020-12-15T20:13:56Z
16,jay_cee,2517.0,2021-11-13T08:49:01Z
16,FinnTyph,2517.0,2025-06-26T09:53:49Z
18,Celabeat,2521.0,2024-03-17T10:32:26Z
19,sloaters27,2531.0,2022-08-11T01:29:01Z
20,kottpower,2540.0,
21,Kipp,2542.0,2021-10-30T23:41:22Z
21,susreime,2542.0,2023-02-18T08:02:49Z
23,decalled,2547.0,2024-02-19T11:42:31Z
24,Zmusic,2548.0,2019-08-28T04:16:44Z
27,Glove_SM,2564.0,2025-11-02T07:27:22Z
28,stovul,2567.0,2025-04-05T05:57:55Z
29,kishmo,2571.0,2023-08-31T10:07:54Z
30,osse101,2572.0,2022-10-22T02:22:57Z
31,Aziul,2573.0,2024-02-16T23:24:35Z
32,StaticNine,2575.0,2019-05-16T22:52:08Z
32,fsg,2575.0,2020-08-24T11:40:05Z
34,thabanana,2576.0,
35,Oopla,2578.0,2025-09-29T22:38:26Z
36,eHolden,2583.0,2022-05-03T23:04:11Z
37,mm2nescartridge,2592.0,2024-12-24T14:03:55Z
38,Robitalion,2594.0,2020-02-13T21:21:45Z
39,mrguyaverage,2595.0,2022-08-19T08:14:37Z
40,Feral,2597.0,2019-01-16T21:59:29Z
40,Smokey,2597.0,2025-02-15T23:03:45Z
42,timmon,2598.0,2025-03-26T23:09:04Z
43,sweetnumb,2600.0,
44,jack879,2601.0,2018-10-14T20:56:41Z
44,professorschool,2601.0,2024-08-22T05:52:31Z
46,just_defend,2602.0,2018-06-02T00:04:01Z
47,n0la_3,2606.0,2023-08-19T17:41:44Z
48,Galamoz,2607.0,2020-05-14T13:39:55Z
49,Tablespoon,2609.0,2025-11-27T08:52:49Z
49,TopsyTurve,2609.0,2021-11-04T20:56:09Z
51,Straevaras,2619.0,2017-10-15T21:30:48Z
51,Ryan_Ford522,2619.0,2024-11-22T08:27:29Z
53,Sforzand0,2620.0,2022-09-23T22:40:39Z
54,TrueMoss,2621.0,2018-09-09T19:28:35Z
55,andreww,2627.0,2021-08-16T15:15:09Z
55,SpaceJump,2627.0,2022-07-20T17:02:02Z
57,SKY85,2628.0,2025-11-14T16:32:47Z
58,Timochun,2631.0,2021-11-06T23:04:49Z
59,llMrFox,2633.0,2022-01-16T07:27:30Z
60,JRP2234,2636.0,2018-11-08T19:48:42Z
60,Karst96,2636.0,2025-02-16T16:37:03Z
62,Static_Shock,2638.0,2021-11-09T04:53:22Z
62,MAERKLiG,2638.0,2024-07-06T00:25:37Z
62,PoomX0,2638.0,2024-06-19T22:32:19Z
