Place,Player,Time (seconds),Date Submitted
1,ShinyZeni,47.78,2024-01-07T22:39:49Z
2,BFrobber,47.62,2022-10-23T05:51:09Z
3,Ruya,47.61,2021-11-20T01:42:27Z
4,Oatsngoats,47.53,2022-08-13T04:12:23Z
5,FinnTyph,47.51,2025-07-13T19:09:00Z
6,TopsyTurve,47.5,2021-10-25T10:10:40Z
7,smCharles,47.44,2025-08-10T18:25:10Z
8,Behemoth87,47.35,2025-03-12T19:55:36Z
9,CScottyW,47.25,2024-10-23T15:41:02Z
10,Eddie,47.21,2022-10-18T05:26:25Z
12,Sniq,47.19,2016-12-10T23:32:04Z
13,Fe,47.18,2016-12-10T23:32:32Z
14,susreime,47.17,2022-07-29T04:30:26Z
15,Feral,47.16,2017-11-02T00:31:43Z
15,Cloud9Mitchell,47.16,2020-01-07T15:52:00Z
17,Static_Shock,47.11,2024-07-14T02:19:14Z
18,eHolden,47.09,2021-12-27T14:43:16Z
19,zoast,47.07,2017-11-13T19:01:37Z
20,ARealCutie,47.04,2019-04-28T21:55:32Z
21,mrguyaverage,47.03,2022-06-09T19:21:51Z
22,timmon,47.02,2024-10-09T12:00:14Z
23,sloaters27,46.96,2020-11-16T06:44:38Z
24,sweetnumb,46.93,2016-12-10T23:33:00Z
24,llMrFox,46.93,2021-11-22T14:45:41Z
26,kottpower,46.91,2016-12-10T23:33:29Z
28,Straevaras,46.86,2016-12-10T23:34:59Z
28,andreww,46.86,2016-12-10T23:36:00Z
30,professorschool,46.84,2024-08-10T19:52:00Z
30,stovul,46.84,2025-02-25T03:19:43Z
32,SmokeyMarcel,46.83,2022-08-21T21:58:00Z
33,Ivan,46.8,2016-12-10T23:36:39Z
33,DishTowel9,46.8,2016-12-11T03:15:08Z
33,Robitalion,46.8,2020-02-28T23:00:25Z
36,MisterI,46.79,2025-05-18T01:53:56Z
37,ForeverMHW,46.77,2022-10-25T12:55:16Z
38,Garrison,46.73,2016-12-11T03:17:12Z
39,WildAnaconda69,46.71,2016-12-11T03:27:52Z
40,DbX,46.69,2016-12-11T03:29:11Z
41,Overfiendvip,46.68,2016-12-11T03:33:46Z
42,Tullymarfus,46.67,2016-12-11T03:41:13Z
43,Mumu_Didi,46.65,2018-08-20T21:49:23Z
45,Clemens,46.63,2016-12-11T03:51:19Z
46,Croakomire,46.62,2023-04-09T13:07:34Z
46,NostalJaC,46.62,2024-03-12T20:09:30Z
48,MW,46.61,2016-12-11T03:51:50Z
49,Edu207,46.59,2016-12-11T03:54:28Z
49,Slaytheplay,46.59,2025-01-17T10:54:43Z
52,matrick2298,46.57,2016-12-11T03:55:47Z
52,Enmet,46.57,2017-09-19T13:35:43Z
52,Karst96,46.57,2025-10-23T15:44:18Z
56,KNO3,46.56,2021-04-04T19:27:24Z
57,bferdowsian,46.54,2019-04-24T12:01:25Z
58,kingsalmon,46.53,2023-01-24T01:28:02Z
60,MawcDrums,46.52,2016-12-11T04:09:33Z
61,MAERKLiG,46.51,2023-11-12T23:20:26Z
63,HemZar,46.5,2021-06-10T03:28:58Z
64,yurisalgadin,46.49,2019-08-15T21:52:13Z
64,Mohlfeivi,46.49,2021-04-04T17:40:26Z
68,Kosmic,46.47,2016-12-11T05:01:48Z
68,Asfalttisoturi,46.47,2020-05-02T16:33:23Z
70,LightQuartz,46.46,2024-06-18T14:49:39Z
71,ptoil,46.45,2021-08-06T02:24:31Z
71,noxiousnick,46.45,2022-03-18T13:43:16Z
73,Smokey,46.43,2016-12-11T05:02:51Z
74,Brother_main,46.41,2016-12-11T05:05:28Z
75,kojakt,46.4,2016-12-11T05:09:00Z
75,Kipp,46.4,2018-01-23T05:18:30Z
75,juliohfoliveira,46.4,2021-12-12T19:27:30Z
78,shmayd,46.39,2024-11-14T07:01:40Z
79,CynanMachae,46.37,2020-07-17T05:09:31Z
80,bressingham,46.35,2023-08-19T01:26:11Z
81,EduSm3_BR,46.32,2018-10-17T18:43:51Z
81,Whewty,46.32,2019-10-23T22:32:33Z
83,abortion_shark,46.31,2016-12-11T05:12:57Z
83,Ponk,46.31,2019-03-29T19:24:18Z
85,FreyasSpirit,46.3,2021-10-28T10:31:28Z
85,nicj,46.3,2025-02-10T18:45:26Z
