Place,Player,Time (seconds),Date Submitted
1,mm2nescartridge,888.9,2023-12-16T23:12:52Z
2,susreime,889.0,2022-05-14T23:08:32Z
3,zoast,891.0,2022-01-13T17:15:18Z
4,Overfiendvip,899.0,2017-10-14T18:17:45Z
5,LightQuartz,902.781,2025-10-25T14:45:59Z
6,sloaters27,904.0,2019-11-23T04:29:02Z
7,Nintoaster_81,933.0,2017-12-04T10:25:04Z
8,Anfunny,944.0,2025-10-04T02:56:11Z
9,Kingofthehill47,953.0,2023-04-24T19:14:03Z
10,Robitalion,957.0,2019-11-05T22:21:56Z
10,ptoil,957.0,2021-06-14T06:26:30Z
12,BFrobber,960.0,2021-04-11T09:39:10Z
13,PapaSchmo,973.0,2023-06-07T17:46:32Z
14,idlechild,987.0,2025-01-13T07:20:45Z
15,professorschool,995.0,2022-10-05T05:56:20Z
16,matrick2298,997.0,2016-12-04T21:34:53Z
17,OwlRTA,1006.0,2019-11-25T06:26:58Z
18,Jaychalke,1007.0,2020-10-24T18:07:55Z
19,cheesyboatride,1022.6,2023-12-16T19:10:41Z
20,tony_ls_03,1023.0,2020-10-02T17:19:18Z
21,hero_82,1029.0,2018-12-10T06:04:53Z
22,stashiocat,1034.0,2020-04-12T08:16:54Z
23,total,1036.0,2016-12-04T21:36:31Z
24,beeps,1037.0,2018-07-10T04:31:31Z
25,redxparasite,1038.0,2022-10-15T00:12:49Z
25,UNHchabo,1038.0,2020-01-15T16:08:26Z
27,Mumu_Didi,1046.0,2019-08-14T00:00:40Z
28,izerli,1050.0,2022-06-09T22:19:37Z
29,jooniejoone,1054.0,2023-11-18T06:19:43Z
30,Schmeman,1058.0,2017-05-08T22:37:55Z
31,kevnastics,1061.0,2023-05-03T02:19:07Z
32,Axl,1063.0,2016-12-04T21:37:06Z
33,CrustaceanSeven,1073.0,2021-05-19T01:14:12Z
34,Glaucio_Souza,1078.0,2020-03-16T19:59:28Z
35,Straevaras,1088.0,2016-12-04T21:37:42Z
36,soren90,1092.0,2025-07-11T20:28:18Z
37,Magicantrust,1103.0,2016-12-04T21:38:12Z
38,Di10kong,1106.0,2017-12-10T19:15:46Z
39,abortion_shark,1107.0,2016-12-04T21:40:12Z
40,Lief,1127.0,2019-09-19T01:05:08Z
41,redy9567,1130.0,2017-08-07T17:06:48Z
42,kottpower,1131.0,2016-12-04T21:41:42Z
43,Ivan,1133.0,2016-12-04T21:42:23Z
44,Soppanaama,1139.0,2017-07-25T00:12:59Z
45,saberkok,1179.0,2016-12-04T21:42:53Z
46,Coeus0,1198.934,2020-06-13T17:23:32Z
47,Edu207,1217.0,2016-12-04T21:43:17Z
48,eHolden,1236.0,2020-08-28T00:36:14Z
49,smPALrunner,1274.0,2019-12-05T14:13:39Z
50,MrGlockenspiel,1378.0,2024-02-20T00:32:41Z
51,Metroid_Gameplays,1383.0,2021-08-22T01:45:46Z
52,fruitbatsalad,1397.0,2017-12-10T18:55:10Z
53,Dyceron,1421.0,2016-12-04T21:46:31Z
54,Yuppi,1426.0,2017-08-07T16:28:00Z
55,TheSquirrelNestHH,1458.0,2022-06-07T15:55:47Z
56,Croakomire,1466.0,2017-11-13T17:39:27Z
57,HélioDixy,1502.0,2017-06-28T20:11:16Z
58,Belthasar,1508.0,2016-12-11T07:30:49Z
59,Leodox,1515.0,2016-12-04T21:48:20Z
60,Annelits,1520.0,2018-01-14T03:22:32Z
61,WildAnaconda69,1729.0,2016-12-04T21:49:10Z
