Place,Player,Time (seconds),Date Submitted
1,Oatsngoats,2855.0,2025-06-11T00:42:31Z
2,ShinyZeni,2859.98,2025-04-25T08:07:09Z
3,Eddie,2903.0,2025-07-03T20:19:36Z
4,zoast,2905.0,2020-07-02T01:57:12Z
5,Overfiendvip,2950.0,2019-07-24T20:19:52Z
6,cemo,3032.0,2023-12-18T19:34:42Z
7,Kipp,3036.0,2019-02-12T07:13:12Z
8,sloaters27,3085.0,2020-02-01T05:59:03Z
9,TrueMoss,3092.0,2019-03-08T14:20:32Z
10,eHolden,3099.0,2021-12-26T01:01:13Z
11,memesarehealthy,3111.0,2024-03-17T20:57:26Z
12,antimatterhorse,3156.0,2024-01-07T10:27:21Z
14,stashiocat,3164.0,2022-06-21T03:33:30Z
15,Robitalion,3185.0,2019-08-05T20:14:01Z
16,stovul,3195.0,2025-07-23T01:31:14Z
17,richman3mm,3204.0,2020-05-17T05:16:10Z
18,professorschool,3217.0,2024-11-13T07:39:40Z
19,Straevaras,3241.0,2016-12-04T19:35:26Z
20,CScottyW,3245.0,2020-04-12T15:42:31Z
21,bressingham,3265.0,2022-11-07T03:31:23Z
22,Audraxys,3267.0,2021-06-18T13:12:47Z
23,andreww,3290.0,2016-12-04T19:39:00Z
24,Feral,3294.0,2017-12-18T23:06:57Z
25,SKY85,3296.0,2024-07-24T19:40:49Z
26,kottpower,3303.0,2016-12-05T04:59:51Z
27,sweetnumb,3309.0,2016-12-04T19:40:05Z
28,osse101,3331.0,2020-04-26T06:49:47Z
29,mrguyaverage,3335.0,2024-11-16T20:40:37Z
30,mctimothy,3339.0,2022-08-08T12:49:14Z
31,WildAnaconda69,3343.0,2018-05-30T21:44:12Z
31,susreime,3343.0,2023-05-26T05:21:12Z
33,just_defend,3373.0,2016-12-04T19:42:01Z
34,Edu207,3381.0,2017-12-26T00:33:55Z
35,Tilimorf,3392.0,2025-06-20T11:58:33Z
36,Kingofthehill47,3401.0,2019-07-01T01:07:55Z
37,HypoSatori,3402.0,2024-09-26T15:38:53Z
38,Ryan_Ford522,3413.0,2025-06-23T14:02:39Z
39,fsg,3450.0,2020-04-18T16:50:16Z
40,Whewty,3461.0,2020-04-26T15:40:23Z
41,diggidiggidang,3463.0,2024-09-12T14:37:11Z
42,hero_82,3483.0,2020-05-07T08:27:03Z
43,Enmet,3490.0,2020-04-26T18:58:03Z
44,Glove_SM,3502.0,2022-06-08T17:17:40Z
45,kojakt,3519.0,2017-10-04T12:15:50Z
46,Ponk,3524.0,2018-04-04T20:53:55Z
47,hotarubi_ta,3533.0,2016-12-05T05:34:44Z
48,CynanMachae,3546.0,2020-06-21T03:00:28Z
48,Rumbleminze,3546.0,2020-07-26T20:24:53Z
50,Ivan,3552.0,2016-12-04T19:52:51Z
51,Brjoker94,3600.0,2023-01-12T01:13:23Z
52,Nintoaster_81,3646.0,2020-04-30T15:30:18Z
53,idlechild,3692.0,2024-06-22T20:37:27Z
54,beeps,3693.0,2020-08-03T20:17:08Z
55,Timochun,3706.0,2020-04-21T20:22:15Z
56,FreyasSpirit,3734.0,2020-05-05T22:33:33Z
57,Behemoth87,3788.0,2019-06-05T02:23:35Z
58,Mohlfeivi,3796.0,2019-02-22T02:17:50Z
59,jooniejoone,3797.0,2022-06-02T10:22:48Z
60,farfelu,3800.0,2021-08-19T16:35:03Z
61,Sapphron,3806.0,2019-12-27T20:57:29Z
62,JakeBopDart,3882.0,2025-08-19T05:15:37Z
63,Garrison,3922.0,2016-12-05T05:01:01Z
64,BFrobber,3947.0,2024-12-16T06:59:39Z
64,jichi9,3947.0,2023-11-12T23:35:52Z
66,Static_Shock,3955.0,2022-10-19T02:29:49Z
68,PapaSchmo,3986.0,2023-10-12T04:51:07Z
69,Leodox,4008.0,2016-12-04T20:50:33Z
70,Nevdi,4081.0,2020-05-14T11:40:47Z
71,fruitbatsalad,4126.0,2019-12-04T03:04:54Z
72,Fe,4139.0,2016-12-04T20:51:42Z
73,lioran,4189.0,2016-12-05T05:35:56Z
74,Zenkai,4266.0,2018-07-26T15:06:17Z
75,Asfalttisoturi,4308.0,2020-10-14T09:56:16Z
76,LakeDemon,4322.0,2020-08-26T17:17:33Z
77,juliohfoliveira,4326.0,2021-04-22T01:27:40Z
79,redy9567,4430.0,2017-07-06T06:39:16Z
80,kevnastics,4518.0,2022-11-09T18:11:18Z
81,AranJaeger,4525.0,2019-05-31T01:30:30Z
82,ForeverMHW,4586.0,2023-09-27T08:42:52Z
83,mechashiva76,4603.0,2016-12-04T20:52:51Z
84,DMC_Sparda,4709.0,2021-10-25T01:50:40Z
85,dayne_6747,4735.0,2023-03-08T01:50:05Z
86,Derxu,4776.0,2022-05-08T01:06:50Z
87,total,4987.0,2017-11-14T15:30:55Z
88,UNHchabo,5180.0,2019-08-21T15:11:37Z
90,saberkok,5209.0,2016-12-04T20:54:57Z
91,ARealCutie,5224.0,2018-03-18T23:21:41Z
93,jronaggaz,5372.0,2016-12-04T20:56:23Z
94,ptoil,5460.0,2023-01-28T03:47:10Z
95,crossproduct,5527.0,2016-12-04T20:58:52Z
96,DbX,5795.0,2016-12-11T07:21:26Z
97,Dessyreqt,6000.0,2016-12-11T07:22:43Z
98,Lief,6098.0,2020-06-15T01:07:38Z
101,matrick2298,6540.0,2016-12-04T21:12:50Z
102,Saron_Gas,6625.0,2016-12-04T21:15:21Z
103,Dyceron,9004.0,2016-12-04T21:16:45Z
104,Desmous,11721.0,2020-03-03T09:06:27Z
