Place,Player,Time (seconds),Date Submitted
1,susreime,4590.0,2024-02-25T06:28:21Z
2,Gebbu,4606.0,2024-11-11T10:32:35Z
3,mm2nescartridge,4658.0,2025-07-20T03:21:04Z
4,mrguyaverage,4663.0,2025-08-12T06:44:09Z
5,zoast,4665.0,2021-07-01T17:29:10Z
6,Tablespoon,4706.0,2025-07-27T08:53:19Z
7,Oatsngoats,4840.0,2018-04-30T08:45:47Z
8,WildAnaconda69,4841.0,2018-04-07T05:57:08Z
9,SKY85,4851.0,2025-06-21T23:49:27Z
10,sweetnumb,4935.0,
11,FinnTyph,4965.0,2025-07-07T23:06:10Z
12,ptoil,5032.0,2022-10-06T05:54:41Z
13,eHolden,5062.0,2022-12-20T02:06:02Z
14,andreww,5121.0,2017-07-03T17:40:51Z
15,professorschool,5182.0,2022-12-11T22:49:06Z
16,Shreddaily101,5231.0,2017-10-07T01:06:07Z
17,OwlRTA,5281.0,2021-04-28T05:51:10Z
18,whitemagebecky,5298.0,2017-12-23T19:30:07Z
19,Enmet,5329.0,2017-09-18T12:10:43Z
20,FreyasSpirit,5330.11,2018-12-27T09:16:59Z
21,BFrobber,5369.0,2024-01-01T02:43:44Z
22,polarbearbunny,5411.0,2023-12-31T05:42:33Z
23,Kyzentun,5514.06,2025-10-15T04:40:12Z
24,ironrusty,5551.0,2022-09-10T21:48:51Z
25,jakoliath,5591.0,2024-11-29T18:19:09Z
26,PassivePac-Man,5637.0,2020-09-11T05:15:46Z
27,idlechild,5695.0,2025-01-18T13:27:32Z
29,Robitalion,5758.0,
30,KronicSauce,5823.0,
31,Di10kong,5972.0,2018-06-03T14:38:51Z
32,Mumu_Didi,5995.0,2018-10-13T21:38:26Z
33,kekumanshoyu,6002.0,2017-08-05T12:00:51Z
34,Edu207,6087.0,2017-07-01T01:13:48Z
35,TheSquirrelNestHH,6411.0,2021-11-23T19:22:09Z
36,DMC_Sparda,6619.0,2023-05-27T23:08:03Z
37,kevnastics,6656.0,2023-09-18T15:52:37Z
38,Straevaras,6680.0,
39,Triddy243,6705.0,
40,Dyceron,6907.0,
41,UNHchabo,6953.0,2018-07-02T03:30:49Z
42,karlrodd,6991.0,2023-01-06T00:36:34Z
44,DirtyMike,7099.0,2022-12-31T08:57:18Z
45,jooniejoone,7134.0,2022-06-09T09:36:10Z
46,Dessyreqt,7169.0,
49,TestRunner,7612.0,
51,Kingofthehill47,8980.0,2019-01-22T08:10:50Z
52,Frydi,10314.0,2022-12-31T11:20:30Z
