Place,Player,Time (seconds),Date Submitted
1,ShinyZeni,348.0,2019-04-14T23:40:55Z
2,susreime,349.0,2022-08-31T20:28:51Z
3,Behemoth87,351.0,2017-08-07T17:14:59Z
4,Overfiendvip,358.0,2017-08-07T17:14:10Z
5,Kipp,365.0,2019-03-27T13:19:35Z
6,stovul,366.0,2025-04-14T23:50:06Z
8,Straevaras,374.0,2016-12-10T22:25:21Z
9,Ivan,376.0,2016-12-10T22:25:53Z
10,LightQuartz,380.0,2022-09-09T15:50:53Z
11,LakeDemon,381.0,2022-05-02T06:03:44Z
12,hotarubi_ta,383.0,2022-11-26T01:33:37Z
13,TopsyTurve,384.0,2018-09-08T01:25:16Z
14,sweetnumb,385.0,2016-12-10T22:31:20Z
15,Feral,387.0,2017-07-02T13:43:46Z
16,WildAnaconda69,388.0,2016-12-10T22:31:55Z
16,Kingofthehill47,388.0,2019-05-15T05:10:46Z
18,Edu207,390.0,2018-07-19T14:26:53Z
19,Oatsngoats,391.0,2016-12-10T22:33:30Z
19,TGDerp,391.0,2019-03-13T18:02:50Z
21,zoast,392.0,2016-12-10T22:38:08Z
22,OwlRTA,393.0,2019-12-30T06:22:27Z
23,hero_82,395.0,2019-12-30T07:23:02Z
24,richman3mm,397.0,2017-12-23T19:31:22Z
24,Ponk,397.0,2018-07-22T02:20:02Z
24,Desmous,397.0,2019-12-30T12:17:25Z
24,HypoSatori,397.0,2022-08-31T06:19:01Z
28,Caaaaarlito,399.0,2018-01-17T05:11:35Z
28,Whewty,399.0,2020-11-14T01:48:30Z
28,ptoil,399.0,2023-04-18T02:29:08Z
31,HemZar,400.0,2022-01-27T20:31:31Z
32,sloaters27,401.0,2018-03-02T21:45:28Z
34,kuru9798,402.0,2022-03-26T13:47:53Z
35,MawcDrums,403.0,2016-12-10T22:47:34Z
35,hilborn,403.0,2017-12-30T20:07:29Z
35,Runtime440,403.0,2022-09-04T13:09:40Z
39,Benko,404.0,2016-12-10T22:48:10Z
39,Brunera,404.0,2020-02-28T23:31:27Z
39,BFrobber,404.0,2024-03-21T20:20:23Z
42,Asfalttisoturi,405.0,2020-10-06T17:32:48Z
43,Robitalion,406.0,2016-12-10T23:01:22Z
44,Tullymarfus,408.0,2016-12-10T23:01:48Z
45,Belthasar,409.0,2016-12-10T23:02:25Z
45,Croakomire,409.0,2017-10-12T11:43:08Z
48,fruitbatsalad,411.0,2018-03-06T01:27:40Z
49,Mumu_Didi,411.62,2023-04-07T00:21:27Z
50,Brother_main,412.0,2016-12-10T23:03:34Z
51,Rumbleminze,414.0,2017-12-03T23:53:03Z
52,Nintoaster_81,417.0,2016-12-10T23:06:53Z
53,Enmet,422.0,2016-12-10T23:07:23Z
54,samuel,423.0,2016-12-10T23:07:53Z
54,mrguyaverage,423.0,2019-10-25T02:09:09Z
57,Dyceron,429.0,2016-12-10T23:10:55Z
57,jakefsomenumbers,429.0,2016-12-13T02:37:33Z
60,UNHchabo,431.0,2019-12-26T10:37:47Z
60,Glaucio_Souza,431.0,2020-10-18T19:26:31Z
62,jooniejoone,432.0,2022-08-24T21:01:59Z
63,DuffE,433.0,2020-09-27T20:59:53Z
63,kingsalmon,433.0,2020-11-13T04:46:42Z
65,CosmoRetro,439.0,2022-03-24T05:59:28Z
66,TheSquirrelNestHH,443.0,2022-06-10T16:30:08Z
67,Leodox,446.0,2017-06-06T21:31:33Z
69,45oranges,449.0,2017-06-06T21:32:29Z
72,Longneckturtle,450.0,2016-12-10T23:13:27Z
72,jronaggaz,450.0,2016-12-10T23:13:54Z
72,MisterI,450.0,2021-04-21T00:30:56Z
75,benlake412,452.0,2016-12-10T23:14:21Z
77,Chrono007,452.08,2021-12-06T06:34:34Z
78,Komaru,453.0,2018-04-28T20:16:17Z
78,Thorneto,453.0,2019-09-03T17:00:22Z
81,CountCreep,457.0,2016-12-10T23:15:14Z
82,denis1080,459.0,2016-12-10T23:15:41Z
