Place,Player,Time (seconds),Date Submitted
1,ShinyZeni,3367.0,2023-02-22T08:19:54Z
2,osse101,3590.0,2020-07-22T02:38:59Z
3,susreime,3666.0,2022-09-11T18:52:45Z
4,LakeDemon,3673.0,2021-12-10T08:38:01Z
5,zoast,3817.0,2021-07-02T12:34:25Z
6,Kipp,3843.0,2019-09-08T04:52:49Z
7,sloaters27,3931.0,2019-09-27T02:45:21Z
8,farfelu,3966.0,2024-05-03T12:31:13Z
9,cemo,4055.0,2022-07-29T04:18:38Z
10,Static_Shock,4056.0,2021-08-24T00:26:29Z
11,Straevaras,4081.0,
12,mm2nescartridge,4091.0,2024-04-24T02:41:03Z
13,Ponk,4100.0,2018-11-12T21:55:16Z
14,Kingofthehill47,4104.0,2022-05-27T01:41:34Z
15,Traviktox,4114.0,2025-07-31T18:31:35Z
16,mrguyaverage,4121.0,2024-11-29T22:23:20Z
17,professorschool,4162.0,2024-11-08T07:49:48Z
19,yurisalgadin,4194.0,2021-08-16T21:14:52Z
20,diggidiggidang,4220.0,2024-04-10T15:14:50Z
21,kottpower,4247.0,
22,Kyzentun,4286.94,2025-09-20T20:14:58Z
23,Audraxys,4340.0,2019-07-10T20:02:09Z
24,andreww,4368.0,2017-11-19T01:41:03Z
25,Oatsngoats,4393.0,2017-01-21T14:49:40Z
26,jichi9,4397.0,2024-03-12T09:51:07Z
27,djcdubz,4438.0,2023-04-21T21:49:02Z
28,Glove_SM,4495.0,2022-06-08T17:15:55Z
29,AceZer0187,4540.0,2022-02-11T23:31:56Z
30,Edu207,4549.0,2017-06-22T00:26:14Z
31,kevnastics,4553.0,2025-05-21T15:45:22Z
32,Nevdi,4566.0,2021-03-30T13:51:47Z
33,Mohlfeivi,4627.0,2019-09-02T18:27:54Z
34,SKY85,4662.0,2024-06-28T20:25:20Z
35,bressingham,4668.0,2023-11-18T05:49:00Z
36,hero_82,4669.0,2019-12-23T21:44:40Z
37,Galamoz,4714.0,2020-07-08T13:51:23Z
38,Zeb316,4723.0,2022-10-05T08:42:56Z
39,ExtremeSP1TF1R3,4728.0,2020-07-08T22:50:32Z
40,juliohfoliveira,4744.0,2022-04-24T13:07:58Z
41,sweetnumb,4765.0,
42,Feral,4777.0,2018-01-10T01:11:20Z
43,lioran,4843.0,
44,HypoSatori,4851.0,2023-09-20T17:30:54Z
45,Nintoaster_81,4897.0,2020-04-30T03:32:57Z
46,thabanana,4935.0,
47,jooniejoone,4945.0,2021-11-27T08:41:59Z
48,Tilimorf,4961.0,2024-03-28T09:57:43Z
49,PapaSchmo,4969.0,2024-03-21T04:44:10Z
50,matrick2298,5056.0,
51,JakeBopDart,5140.0,2025-09-03T05:27:20Z
52,joaobatista2206,5180.0,2021-08-18T02:44:58Z
53,nutella4eva,5188.0,2018-08-26T08:48:36Z
54,Skorph2014,5190.086,2019-10-26T06:46:48Z
55,Derxu,5199.0,2024-08-14T22:34:11Z
56,Brjoker94,5200.0,2022-04-19T11:04:14Z
57,einbert,5228.0,
58,Brother_main,5230.0,
59,just_defend,5282.0,
60,apathyduck,5296.0,2020-06-17T22:15:12Z
61,DMC_Sparda,5297.0,2023-05-16T11:56:10Z
62,Zero_Mendez,5304.0,2023-05-27T16:17:47Z
63,fruitbatsalad,5324.0,2020-05-13T03:17:41Z
64,crossproduct,5339.0,2025-05-25T20:23:33Z
65,Glaucio_Souza,5355.0,2021-09-14T00:14:14Z
66,Whewty,5358.0,2020-04-19T17:14:41Z
67,beeps,5374.0,2020-04-03T19:56:49Z
68,idlechild,5391.0,2024-11-23T23:57:32Z
69,Robitalion,5395.0,2019-06-10T12:11:10Z
70,MassHesteria,5413.0,2021-05-16T01:55:48Z
71,cheesyboatride,5432.0,2024-09-29T03:00:27Z
72,wownifty,5441.0,2021-08-06T00:16:52Z
73,richman3mm,5478.0,2017-11-05T23:18:32Z
74,Leodox,5548.0,
76,TopsyTurve,5663.0,2017-08-19T19:27:20Z
77,BFrobber,5691.0,2025-01-14T02:26:00Z
78,jpufry,5746.56,2025-03-10T07:37:58Z
79,ironrusty,5815.0,2024-07-11T18:13:04Z
81,OwlRTA,5823.0,2019-06-08T05:13:50Z
82,Jaychalke,5860.0,2019-04-21T09:27:31Z
83,Ivan,5877.0,
84,Di10kong,5879.0,2021-08-20T12:39:15Z
85,Anfunny,5954.0,2025-01-11T06:05:17Z
86,Nasarius,5988.0,2022-05-12T01:06:53Z
87,Desmous,5998.0,2020-03-11T01:47:19Z
88,Peteza34,6050.0,2019-04-19T18:30:08Z
89,thedagit,6055.0,2022-12-31T04:40:59Z
90,Rumbleminze,6097.0,2018-06-25T16:19:36Z
91,Thorneto,6246.0,2020-03-03T10:58:35Z
92,CynanMachae,6249.0,2020-04-05T02:24:38Z
93,WildAnaconda69,6282.0,
95,notnowGwen,6370.0,2023-01-13T09:17:39Z
99,Gameaholic2D,6454.0,2019-03-15T08:09:48Z
100,Lief,6518.0,2021-04-21T01:03:28Z
101,Shenjoku,6565.0,
102,kekumanshoyu,6647.0,2016-12-24T12:02:28Z
103,Mumu_Didi,6824.0,2019-01-07T23:37:19Z
104,DirtyMike,6837.0,2022-11-24T01:32:40Z
105,Maniacal,6934.0,2019-07-15T00:35:10Z
106,redy9567,6938.0,2018-03-25T14:50:26Z
107,Croakomire,6955.0,2019-01-20T23:19:20Z
108,Grubdog,6959.0,2021-03-29T05:57:55Z
109,fuerchter,6961.0,
110,TikTok,6963.0,2020-04-24T08:09:04Z
111,whitemagebecky,6991.0,2017-06-28T19:30:57Z
112,TheSquirrelNestHH,7138.0,2022-08-29T15:13:55Z
113,cheatyface4,7300.0,2017-12-09T16:25:05Z
115,Lexomatico,7888.0,
116,Metroid_Gameplays,7917.0,2023-05-10T18:56:49Z
118,VibrantColors,8008.0,2021-07-25T12:23:36Z
119,UNHchabo,8044.0,2020-03-16T08:57:43Z
120,TrueMoss,8192.0,2017-06-28T19:34:13Z
121,ptoil,8484.0,2020-02-17T05:52:33Z
122,john_unfil,8520.0,2017-08-07T16:57:38Z
123,whalerynth,8524.0,2019-04-11T03:31:34Z
124,stump,8824.0,2018-04-19T03:59:12Z
125,saberkok,9063.0,
126,jronaggaz,9072.0,
127,JustNotAFox,9101.0,2020-07-26T19:45:45Z
128,Timochun,9142.0,2020-03-31T18:06:16Z
129,kojakt,9818.0,2017-08-07T17:03:15Z
130,Meddadog,10075.0,2019-02-19T02:16:04Z
131,64bit_link,10695.0,2020-03-01T04:26:09Z
133,LomionJones,10859.6,2022-08-06T19:48:28Z
134,Nighty93,11434.0,2018-08-20T18:10:34Z
135,amadeus_xeno,12774.0,2019-08-03T01:33:57Z
137,dayne_6747,6360.0,2023-02-05T01:36:07Z
