Place,Player,Time (seconds),Date Submitted
1,Suigi,2786,2024-11-17T10:44:15Z
3,taihou,2790,2024-11-02T19:21:23Z
4,Weegee,2795,2024-11-28T16:24:47Z
5,Finnii602,2806,2024-04-02T02:08:17Z
6,Parsee02,2814,2023-06-03T16:03:45Z
7,Benji64,2816,2023-01-29T01:10:07Z
8,Dwhatever,2819,2020-06-12T18:02:14Z
8,Goldrush,2819,2024-08-25T13:36:30Z
10,Mauir,2821,2024-07-13T08:30:52Z
10,Raisn,2821,2025-05-11T01:55:18Z
12,RianDiCielo,2825,2024-05-02T11:51:34Z
13,Kally,2829,2025-09-08T22:18:28Z
14,marlene,2830,2022-01-03T15:22:37Z
15,Armada,2832,2025-08-29T13:09:31Z
16,KETSUMANKO,2833,2023-08-08T07:09:45Z
17,ElDeve,2836,2025-09-12T23:23:30Z
18,Taggo,2838,2020-11-11T01:42:44Z
19,lunarjump,2841,2025-08-21T11:28:16Z
20,puncayshun,2843,2019-05-19T12:28:58Z
20,Xoofey,2843,2021-04-25T03:30:35Z
20,cheese,2843,2022-07-01T13:54:45Z
23,Karin,2845,2025-10-24T10:59:32Z
24,Biinny,2847,2021-09-07T00:05:52Z
25,Zhilkan,2849,2023-08-10T18:06:46Z
26,Dowsky,2851,2024-09-01T22:48:43Z
26,Smau,2851,2025-06-13T17:38:26Z
26,jaquarium,2851,2025-08-08T01:35:04Z
29,jumpmanmatthew,2854,2025-09-26T01:08:51Z
30,darkdog47,2855,2021-06-18T05:04:40Z
31,Scythamer,2856,2023-07-22T00:40:35Z
31,Zapy,2856,2024-07-29T18:40:18Z
33,Dezanig,2857,2022-11-23T22:56:21Z
34,Sigotu,2858,2022-07-20T22:52:15Z
35,Chemus,2862,2023-11-18T16:28:46Z
36,simply,2863,2022-08-08T20:53:43Z
36,Carlos64,2863,2024-12-24T02:05:22Z
38,taciturn,2865,2025-08-09T17:46:24Z
39,Aleph64,2866,2022-07-15T06:03:02Z
40,ChipGroove,2867,2022-03-29T02:34:19Z
41,Soda,2868,2024-02-04T23:27:01Z
42,HorrorDoesSpeedRuns,2872,2024-05-07T00:01:42Z
43,Dekudude,2873,2023-08-12T22:09:30Z
43,Xiah,2873,2023-11-12T19:11:53Z
45,Sunnard,2874,2025-03-27T06:27:20Z
46,hokorobi,2875,2021-06-12T23:50:10Z
47,vitroncio,2877,2023-05-11T03:49:50Z
48,Drac,2878,2023-12-06T15:20:36Z
49,happydude124,2879,2025-05-17T04:38:07Z
50,JJsrl,2880,2024-12-01T01:09:26Z
50,Banova8,2880,2025-04-27T17:52:47Z
52,crazywhw,2882,2025-03-13T17:55:06Z
53,BlueBob,2892,2021-03-14T14:29:43Z
54,batora,2894,2017-01-03T18:51:38Z
54,Paracusia,2894,2019-09-21T15:01:29Z
54,Redmoss,2894,2024-02-27T00:43:07Z
57,Keubab,2895,2024-10-11T04:50:08Z
58,Afrodafro,2896,2022-08-23T14:31:44Z
58,FailmanFlo,2896,2024-07-23T14:01:54Z
60,Gainai,2897,2020-08-14T23:51:22Z
60,Dude095,2897,2024-05-11T04:32:26Z
62,lerrythelobtser,2898,2024-07-27T18:58:04Z
63,Maosfx,2899,2021-06-20T23:57:31Z
64,V1RO,2900,2019-02-20T17:15:18Z
65,ZUMMI,2902,2025-06-19T11:48:05Z
67,Mitagi,2903,2022-12-25T23:43:54Z
68,Liam,2904,2019-02-17T22:11:43Z
68,Nebula,2904,2020-07-18T10:34:14Z
70,piegolds,2905,2025-03-14T16:39:23Z
71,Kaimatix,2906,2022-12-20T17:28:47Z
71,sorichi,2906,2023-11-20T00:31:54Z
73,siglemic,2908,2016-06-25T21:30:46Z
74,Flixer,2909,2021-03-28T10:19:01Z
74,GothicLogic,2909,2021-09-24T10:42:02Z
74,Tabascoth,2909,2021-11-22T14:15:10Z
74,bev_prune_,2909,2025-06-22T04:15:50Z
78,saksdal,2910,2021-10-23T03:40:35Z
79,PKT_S,2911,2023-04-24T22:26:06Z
80,Xein64,2912,2024-03-06T23:13:24Z
81,Kaylee_,2914,2022-05-02T05:24:45Z
82,Cysse,2915,2023-10-30T13:05:05Z
83,Bombs,2917,2025-10-21T18:32:00Z
84,mikkix3,2918,2023-01-08T13:41:29Z
85,BigCheese,2919,2024-08-05T21:27:08Z
85,squimmie,2919,2025-08-20T11:45:43Z
85,BenedictFleur123,2919,2025-08-24T14:50:35Z
88,Dackage,2920,2025-09-06T14:25:25Z
